image_h,image_w,kernel_name,target_name,alpha,c,activation,noise_std,tv_lambda,tikhonov_lambda,optimizer,init_mode,seed,time_sec,loss_init,loss_final,grad_init,grad_final,output_mse_final,output_binary_acc_final,output_iou_final,input_psnr_final,input_ssim_final,active_grad_frac_final,saturation_frac_final,rel_loss_reduction,num_iters_recorded,size
32,32,sobel_x,checkerboard,5.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,4,39.92099452018738,378.0411807193757,17.119997264100775,50.6854280787789,6.094541751190553,0.0167187473282234,1.0,1.0,4.576676667662002,0.0039508063812716,1.0,0.0,0.9547139355783328,600,32x32
32,32,sobel_x,checkerboard,5.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,5,38.84659123420715,355.2262305503744,17.120794291243307,47.86769675394802,6.094774752514148,0.0167195256750422,1.0,1.0,4.556471817936014,0.0002589641519632,1.0,0.0,0.9518031248291632,600,32x32
32,32,sobel_x,checkerboard,5.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,6,40.14753198623657,387.7072410591611,17.11952784414923,51.06834796833301,6.094308837362969,0.0167182889103019,1.0,1.0,4.600390208812211,0.0018143283457444,1.0,0.0,0.9558441885238432,600,32x32
32,32,sobel_x,checkerboard,5.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,7,38.39828276634216,394.3566967039405,17.119881735210456,52.39148861314002,6.094412043066545,0.0167186345070414,1.0,1.0,4.589690265258168,0.0044387789712875,1.0,0.0,0.9565878254932664,600,32x32
32,32,sobel_x,checkerboard,7.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,0,39.19198894500733,413.5509577541676,6.277670428470697,61.0595016354624,3.271736922395811,0.0061305375278034,1.0,1.0,4.557110287316604,0.003800386906507,1.0,0.0,0.9848200800632594,600,32x32
32,32,sobel_x,checkerboard,7.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,1,40.20851588249207,438.1380931297072,6.278152019238356,61.549000653591335,3.271908350487272,0.0061310078312874,1.0,1.0,4.560945962523368,-0.0004177191927248,1.0,0.0,0.9856708373052152,600,32x32
32,32,sobel_x,checkerboard,7.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,2,40.5879590511322,419.2745698580229,6.27652453337794,57.60699741783316,3.2709246463001693,0.0061294184896268,1.0,1.0,4.545404901773007,-0.001373836654886,1.0,0.0,0.9850300376302256,600,32x32
32,32,sobel_x,checkerboard,7.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,3,41.18837809562683,408.36334647779984,6.277586041788127,59.75630321288493,3.271394265510055,0.0061304551189337,1.0,1.0,4.5462106461547815,-0.0013131860675853,1.0,0.0,0.9846274498043632,600,32x32
32,32,sobel_x,checkerboard,7.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,4,39.737701177597046,408.0369900196975,6.278541933586318,59.89938663863306,3.2722809607717136,0.0061313886070178,1.0,1.0,4.561617689417162,0.0048017277225873,1.0,0.0,0.9846128118598187,600,32x32
32,32,sobel_x,checkerboard,7.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,5,39.56202244758606,380.0103550448396,6.278423809698729,56.96465440210661,3.2721180649000643,0.0061312732516589,1.0,1.0,4.533082138737705,-0.0002446670794733,1.0,0.0,0.9834782822984972,600,32x32
32,32,sobel_x,checkerboard,7.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,6,41.08886241912842,416.2581516548346,6.2773689230758,60.04266482254546,3.2715354335212443,0.0061302430889412,1.0,1.0,4.578524419293759,0.0009246347452632,1.0,0.0,0.9849195291476692,600,32x32
32,32,sobel_x,checkerboard,7.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,7,38.15817642211914,425.7011610814485,6.278226581143413,62.05744473648641,3.2720084472141533,0.0061310806456478,1.0,1.0,4.572825232623176,0.0039913733108249,1.0,0.0,0.9852520332216284,600,32x32
32,32,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,0,39.18826961517334,439.3202071552901,1.5187482541016393,73.21589077666079,1.2320645544678026,0.0014831525918961,1.0,1.0,4.516829911855671,0.004981061821756,1.0,0.0,0.9965429583493646,600,32x32
32,32,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,1,39.86659336090088,466.3394750601336,1.5182494639552315,73.60452405826777,1.2318421905288333,0.0014826654921437,1.0,1.0,4.513562097364109,-0.0007939251207075,1.0,0.0,0.9967443256572706,600,32x32
32,32,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,2,40.43847823143005,446.2060020264964,1.5168986145267538,68.21902553556968,1.2303242368294338,0.0014813463032487,1.0,1.0,4.5115179782720825,-0.0010988154702804,1.0,0.0,0.9966004522403608,600,32x32
32,32,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,3,39.59378409385681,435.9376790601859,1.5203954061630929,68.5869167078394,1.2329062140379976,0.0014847611388311,1.0,1.0,4.531892004635607,0.0032445671344077,1.0,0.0,0.996512356056396,600,32x32
32,32,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,4,40.35134935379028,435.1714759944829,1.5188229629942287,71.14327748173773,1.2320919624479707,0.001483225549799,1.0,1.0,4.51774650829765,0.0039765349037165,1.0,0.0,0.9965098287760628,600,32x32
32,32,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,5,39.87558341026306,402.011015578007,1.5176173526360066,68.73746252088984,1.231767122024933,0.0014820481959336,1.0,1.0,4.510877482998896,0.0032654641321231,1.0,0.0,0.9962249359001916,600,32x32
32,32,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,6,40.0026421546936,441.245144085801,1.516963660178994,70.40687962450929,1.2311424718321609,0.0014814098243935,1.0,1.0,4.538494577862925,0.0016913466665773,1.0,0.0,0.9965620841826556,600,32x32
