arch,activation,optimizer,dataset,seed,n_epochs,r_mean_active_frac,mean_active_frac_start,mean_active_frac_end,mean_active_frac_delta,r_mean_effective_rank,mean_effective_rank_start,mean_effective_rank_end,mean_effective_rank_delta
mlp_mixer,silu,sgd,cifar100,1,25,0.9240924817258458,0.9968160390853882,0.9979430437088012,0.001127004623412975,-0.8877494518841919,50.64656114578247,46.95618152618408,-3.6903796195983887
mlp_mixer,silu,sgd,cifar100,2,25,0.9175620425685983,0.9967966973781586,0.9977988600730896,0.0010021626949310303,-0.8918370640786701,50.61278510093689,45.792359352111816,-4.820425748825073
transformer_encoder,gelu,sgd,cifar10,0,25,0.4005501133660447,0.989962657292684,0.9989165465037028,0.008953889211018806,-0.8242172442764997,43.21374320983887,41.88588682810465,-1.3278563817342146
transformer_encoder,gelu,sgd,cifar10,1,25,0.37222602313386915,0.9897964497407278,0.9986481467882792,0.008851697047551399,-0.9046552983837287,48.1409772237142,37.99830945332845,-10.14266777038575
transformer_encoder,gelu,sgd,cifar10,2,25,0.4285884157556216,0.9898977080980936,0.9994405110677084,0.009542802969614739,-0.7990940979431855,41.80530548095703,42.06417910257975,0.258873621622719
transformer_encoder,gelu,sgd,cifar100,0,25,0.25636789789317727,0.9891202251116434,0.9962848226229348,0.007164597511291393,-0.8957410911362959,49.16787846883138,43.71355946858724,-5.454319000244141
transformer_encoder,gelu,sgd,cifar100,1,25,0.29081068150613243,0.989177813132604,0.9959467947483064,0.006768981615702385,-0.8890283419159198,47.49567731221517,43.025452295939125,-4.470225016276046
transformer_encoder,gelu,sgd,cifar100,2,25,0.2875298727888288,0.9888103604316713,0.996311604976654,0.007501244544982799,-0.9141460235104325,47.24157269795736,42.92621930440267,-4.3153533935546875
transformer_encoder,mish,sgd,cifar10,0,25,0.3608510010622488,0.9984593987464904,0.9996422330538433,0.0011828343073528869,-0.873042824611529,45.53472646077474,36.12025165557861,-9.414474805196129
transformer_encoder,mish,sgd,cifar10,1,25,0.32706540845981036,0.9973768889904022,0.9999043544133503,0.0025274654229481275,-0.5306648824974333,45.73500633239746,46.90064875284831,1.165642420450851
transformer_encoder,mish,sgd,cifar10,2,25,0.2527351113847984,0.998529682556788,0.999835044145584,0.0013053615887960168,-0.6711419138324838,43.682319005330406,43.87413533528646,0.1918163299560547
transformer_encoder,mish,sgd,cifar100,0,25,0.026496547592962976,0.9969363510608672,0.9986818035443624,0.0017454524834952245,-0.9048384398951224,47.49675623575846,32.56946309407552,-14.927293141682938
transformer_encoder,mish,sgd,cifar100,1,25,-0.0057170360580947556,0.997398336728414,0.998731255531311,0.0013329188028969874,-0.9337350236125112,47.22809092203776,36.54654407501221,-10.681546847025551
transformer_encoder,mish,sgd,cifar100,2,25,0.30368416704410545,0.9964932898680368,0.9990660150845846,0.002572725216547833,-0.8412431637645362,47.05654525756836,41.39820162455241,-5.658343633015953
transformer_encoder,relu,sgd,cifar10,0,25,0.7833415231203881,0.4297212362289428,0.4417841831843058,0.012062946955362974,0.4760289599453824,41.877659479777016,50.854108810424805,8.976449330647789
transformer_encoder,relu,sgd,cifar10,1,25,0.8652333407490043,0.4192799975474675,0.4449107348918915,0.025630737344424004,0.2434374899436431,39.94908618927002,48.0299498240153,8.080863634745278
transformer_encoder,relu,sgd,cifar10,2,25,0.5584501698333195,0.42086856563886,0.4094100296497345,-0.011458535989125496,0.623454286329809,35.544592221577965,51.85956001281738,16.314967791239418
transformer_encoder,relu,sgd,cifar100,0,25,-0.503416539738871,0.4410662601391474,0.4300720194975535,-0.010994240641593878,0.9017206226171349,46.80673027038574,53.59359995524088,6.786869684855141
transformer_encoder,relu,sgd,cifar100,1,25,-0.7086583616730122,0.4240171611309051,0.3919999301433563,-0.03201723098754877,0.913252810746119,46.51001993815104,53.489179611206055,6.979159673055015
transformer_encoder,relu,sgd,cifar100,2,25,-0.6035069772354206,0.4335443675518036,0.4235792110363642,-0.009965156515439388,0.9614077857967925,45.79335403442383,54.13352966308594,8.34017562866211
transformer_encoder,silu,sgd,cifar10,0,25,0.38436293763665147,0.9987206161022186,0.9998090664545696,0.0010884503523509448,-0.7365021220682532,44.005526860555015,44.28501319885254,0.2794863382975237
transformer_encoder,silu,sgd,cifar10,1,25,0.3444268427912849,0.9989289244016012,0.9997571110725404,0.0008281866709392016,-0.3234467929162821,45.162391662597656,48.35752932230631,3.1951376597086565
transformer_encoder,silu,sgd,cifar10,2,25,0.35158747878861407,0.9991376797358196,0.9999594688415528,0.0008217891057332727,-0.6413788459649438,42.00189971923828,43.33101018269857,1.3291104634602888
transformer_encoder,silu,sgd,cifar100,0,25,-0.2999092048471396,0.998053769270579,0.998940646648407,0.0008868773778279992,-0.9113495940861078,46.93142127990723,33.17968241373698,-13.75173886617025
transformer_encoder,silu,sgd,cifar100,1,25,0.20328013398034295,0.9982271591822306,0.9992730418841044,0.0010458827018737793,-0.9399137861494409,47.09674199422201,38.41357930501302,-8.683162689208984
transformer_encoder,silu,sgd,cifar100,2,25,0.21108345213747262,0.997472047805786,0.9992364247639974,0.001764376958211411,-0.8499379600602085,46.488993326822914,42.799967765808105,-3.689025561014809
