attack,alpha,seed,active_frac,gate_mean,final_loss,mse,psnr,corr
idlg,1.0,12,0.9989370703697205,0.22058649361133575,0.031352754682302475,1.342788815498352,-8.669877346428608,0.25899532437324524
inverting_gradients,1.0,12,1.0,0.2268541306257248,0.0025420296005904675,0.22914481163024902,-0.9909004768258617,0.5557748675346375
dlg,1.0,13,0.8874362111091614,0.16267332434654236,0.33083251118659973,27.923770904541016,-21.759372717387755,0.18180818855762482
idlg,1.0,13,0.7389455437660217,0.12862074375152588,0.2864392399787903,208.7386016845703,-30.495659753323995,0.15889444947242737
inverting_gradients,1.0,13,1.0,0.21375668048858643,0.010635985061526299,1.5365803241729736,-9.165184732498457,0.28965163230895996
dlg,1.0,14,1.0,0.22852332890033722,0.00201209494844079,0.2480504810810089,-1.3049363993708087,0.556618869304657
idlg,1.0,14,0.05102040618658066,0.004867177922278643,0.6618652939796448,28067.861328125,-51.84162888462362,-0.009825269691646099
inverting_gradients,1.0,14,1.0,0.22833998501300812,0.00019447293016128242,0.25624626874923706,-1.4461111653761505,0.5504430532455444
dlg,1.0,15,0.9929846525192261,0.2182552069425583,0.09956778585910797,6.004985809326172,-15.205396964449013,0.10645801573991776
idlg,1.0,15,0.0,0.0,2.1149685382843018,7604456128512.0,-136.23095869720646,0.052060678601264954
inverting_gradients,1.0,15,1.0,0.22667624056339264,0.011274215765297413,0.5822705626487732,-5.071525454181907,0.3966425657272339
dlg,1.0,16,1.0,0.22809657454490662,0.017732029780745506,0.29597973823547363,-2.0421003934658026,0.5399520397186279
idlg,1.0,16,0.9819302558898926,0.2112167328596115,0.05855243653059006,4.92371129989624,-14.252406378902737,0.22412408888339996
inverting_gradients,1.0,16,1.0,0.22460158169269562,0.006245575379580259,0.5757454633712769,-4.931785821851722,0.4216890335083008
dlg,1.0,17,0.9154974222183228,0.17650867998600006,0.2621628940105438,25.85399627685547,-21.545553929379327,0.112375408411026
idlg,1.0,17,0.9154974222183228,0.18317900598049164,0.2809406816959381,36.73889923095703,-23.071538508625554,0.09440865367650986
inverting_gradients,1.0,17,0.9994685053825378,0.21108120679855347,0.021182341501116753,1.1003080606460571,-7.835420055363123,0.3144476115703583
dlg,1.0,18,0.9767219424247742,0.19779212772846222,0.08806481212377548,7.24650239944458,-16.021561513519394,0.08388151228427887
idlg,1.0,18,0.9678996205329895,0.2006753832101822,0.09120066463947296,10.192872047424316,-17.503242834928468,0.1035347655415535
