image_h,image_w,kernel_name,target_name,alpha,c,activation,noise_std,tv_lambda,tikhonov_lambda,optimizer,init_mode,seed,time_sec,loss_init,loss_final,grad_init,grad_final,output_mse_final,output_binary_acc_final,output_iou_final,input_psnr_final,input_ssim_final,active_grad_frac_final,saturation_frac_final,rel_loss_reduction,num_iters_recorded
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,adam,random,5,52.38072848320007,1156.4435610656858,486.0943426315895,43.227793046261695,25.380035441533156,0.1186753766190404,1.0,1.0,4.580613892148815,0.000686012118797825,1.0,0.0,0.5796644479704277,600
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,adam,random,6,51.94467353820801,1133.4090665811527,486.0947141080501,42.923787195431636,25.38004544633733,0.11867546731153567,1.0,1.0,4.582892074169449,0.0009163124948134599,1.0,0.0,0.5711215584552186,600
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,adam,random,7,53.17203664779663,1174.6678906147408,486.09464571683236,44.06375557061088,25.380042581251836,0.11867545061446103,1.0,1.0,4.599957546815815,0.004749465669423349,1.0,0.0,0.5861854660363248,600
64,64,sobel_x,checkerboard,2.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,0,52.706403493881226,1225.6119514101115,368.15763731086815,54.999130256166026,26.442799169361262,0.08988223567159867,1.0,1.0,4.5971259061579595,0.0035497314613706903,1.0,0.0,0.6996132120878151,600
64,64,sobel_x,checkerboard,2.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,1,52.61830425262451,1193.777301478648,368.1577835759415,53.87311220802926,26.442788586465344,0.08988227138084509,1.0,1.0,4.5991819999320676,0.003349370829634941,1.0,0.0,0.6916026271232245,600
64,64,sobel_x,checkerboard,2.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,2,52.31954503059387,1231.0146824497233,368.157636336711,56.088538568125564,26.442768206523837,0.08988223543376733,1.0,1.0,4.592466998224713,0.0037180932802469875,1.0,0.0,0.7009315635422999,600
64,64,sobel_x,checkerboard,2.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,3,51.106451988220215,1232.7371698280344,368.1580334897473,55.66838912936799,26.44279628236406,0.08988233239495784,1.0,1.0,4.590258671552565,0.0034690881587844777,1.0,0.0,0.7013491257498912,600
64,64,sobel_x,checkerboard,2.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,4,51.51822900772095,1214.4500708894752,368.1577061773091,54.97627618933145,26.442790744330466,0.0898822524846946,1.0,1.0,4.5905459281558425,0.001998111002038383,1.0,0.0,0.6968523325889662,600
64,64,sobel_x,checkerboard,2.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,5,53.430054664611816,1225.0849417396776,368.1575081003245,55.48150983952397,26.4427633198071,0.08988220412605578,1.0,1.0,4.581258761508364,0.0008868078658369875,1.0,0.0,0.6994840965251571,600
64,64,sobel_x,checkerboard,2.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,6,52.693681478500366,1196.7425483792085,368.1580758510032,55.29785801329862,26.44279728812583,0.08988234273706133,1.0,1.0,4.5806952083075725,0.0007178475627653823,1.0,0.0,0.6923665191401334,600
