arch,activation,optimizer,dataset,seed,n_epochs,r_mean_active_frac,mean_active_frac_start,mean_active_frac_end,r_mean_effective_rank,mean_effective_rank_start,mean_effective_rank_end
resnet18,relu,adamw,cifar10,1,25,-0.8688390541896387,0.5286073386669159,0.4693305702770458,0.8510942565506622,50.88635467080509,55.14390294692095
resnet18,relu,adamw,cifar10,2,25,-0.8846358268426834,0.5245853399529177,0.4701664044576533,0.8464038632833527,51.005715650670666,55.05659686817842
resnet18,relu,adamw,cifar100,0,25,-0.8783404351962864,0.5246076250777525,0.4728439625571756,0.7252062428457996,48.200697281781366,56.45123089061064
resnet18,relu,adamw,cifar100,1,25,-0.8726129622064883,0.5263537747018477,0.4718598881188561,0.7205847008573123,47.15967918844784,56.38462403241326
resnet18,relu,adamw,cifar100,2,25,-0.8786904733963165,0.5225056462428149,0.4735366439118105,0.7390993656614601,48.41803068273208,56.36191222246956
resnet18,silu,adamw,cifar10,0,25,-0.8974200371862313,0.9865382278666776,0.982832817470326,0.8698814659526894,52.83269500732422,57.69281320010914
resnet18,silu,adamw,cifar10,1,25,-0.8977621780388292,0.986478328704834,0.9828483216902788,0.8208051704225391,52.02932425106273,57.73342424280503
resnet18,silu,adamw,cifar10,2,25,-0.9169364053406112,0.9858504709075478,0.9830323878456564,0.8728994493748682,52.85549904318417,57.73882428337546
resnet18,silu,adamw,cifar100,0,25,-0.8236369897165684,0.9876349533305449,0.9829884732470792,0.697031024922578,48.54650026209214,58.8712324254653
resnet18,silu,adamw,cifar100,1,25,-0.8371799305244269,0.9876593281241024,0.9830543433918671,0.7001371987883852,48.37724281759823,58.7624496011173
resnet18,silu,adamw,cifar100,2,25,-0.8192332035377038,0.9886005626005284,0.9830186121604022,0.6989687062733094,48.50459334429573,58.78844900692211
vgg11,gelu,adamw,cifar10,0,25,-0.7978048783745885,0.9612912072075738,0.9245119724008772,0.8766135792004173,38.79109636942545,47.28294690450033
vgg11,gelu,adamw,cifar10,1,25,-0.7791584884186769,0.9549745917320251,0.9240869879722596,0.8742143952438854,39.59017986721463,47.585360844930015
vgg11,gelu,adamw,cifar10,2,25,-0.7664850634539959,0.9618904325697156,0.923975388209025,0.88479090365654,39.37974145677354,47.93447600470649
vgg11,gelu,adamw,cifar100,0,25,-0.6499740058058779,0.9656715393066406,0.9371310340033636,0.8163862490018697,36.66064559088813,54.01857206556532
vgg11,gelu,adamw,cifar100,1,25,-0.6764536592603118,0.9598258336385092,0.937276628282335,0.823281878429323,38.54998249477811,54.007483588324654
vgg11,gelu,adamw,cifar100,2,25,-0.5802909660688076,0.9681449466281468,0.938592169019911,0.8008528650647131,37.2838929494222,54.073717753092446
vgg11,mish,adamw,cifar10,0,25,-0.9059791659273868,0.9870273802015516,0.9615709649191962,0.8591148404544781,39.05553415086534,48.60309855143229
vgg11,mish,adamw,cifar10,1,25,-0.8248553942333203,0.987142350938585,0.9567107558250428,0.8664191764782937,40.60144890679253,48.72613016764323
vgg11,mish,adamw,cifar10,2,25,-0.8696220067428524,0.9869983461168076,0.95664734310574,0.8672406520190957,39.65630891587999,48.942459954155815
vgg11,mish,adamw,cifar100,0,25,-0.7661035887696036,0.9884533352322048,0.9713893466525608,0.8234294256111864,38.958007176717125,54.51511425442166
vgg11,mish,adamw,cifar100,1,25,-0.840393024229467,0.9886879391140408,0.9726448059082032,0.8270756646626313,38.60371398925781,54.59721798366971
vgg11,mish,adamw,cifar100,2,25,-0.8189974182591612,0.9886101616753472,0.9727764129638672,0.8146596282504618,38.472320344713,54.70152155558268
vgg11,relu,adamw,cifar10,0,25,-0.7523103875158459,0.5720791286892362,0.5334559993611442,0.8659868930595515,37.92741658952501,46.06402100457085
vgg11,relu,adamw,cifar10,1,25,-0.7292378956573706,0.5739979214138455,0.5361510713895162,0.844509343487865,37.45933236016168,45.66297954983182
vgg11,relu,adamw,cifar10,2,25,-0.7041231629122041,0.57625855339898,0.5375310927629471,0.8599813983332316,37.559349060058594,45.78618473476834
vgg11,relu,adamw,cifar100,0,25,-0.8000209232646601,0.5621905856662326,0.5371390448676215,0.8164412405279529,33.71053801642524,49.55544344584147
vgg11,relu,adamw,cifar100,1,25,-0.7313435873582462,0.5523706012301974,0.541115230984158,0.8204992770916498,34.3857618967692,49.952636294894745
vgg11,relu,adamw,cifar100,2,25,-0.7733475218977992,0.5559166802300347,0.5382480290200975,0.813719203037256,34.05220858256022,50.1296009487576
vgg11,silu,adamw,cifar10,0,25,-0.8454739824726574,0.9860495461357964,0.9704812367757162,0.8758838880537502,38.547400050693085,48.221597247653534
vgg11,silu,adamw,cifar10,1,25,-0.8510521524177929,0.987815645005968,0.9660057955318028,0.8738512322544539,39.56988885667589,48.477734883626304
vgg11,silu,adamw,cifar10,2,25,-0.8511065166364027,0.9885331259833442,0.9642137024137708,0.8818229994536912,39.30332395765517,48.66419431898329
vgg11,silu,adamw,cifar100,0,25,-0.8443800740915844,0.98882876502143,0.9730259577433268,0.816196079505783,36.612929026285805,54.353507147894966
vgg11,silu,adamw,cifar100,1,25,-0.8482718384982433,0.9904090033637152,0.9756294886271158,0.8217828401922898,38.4590098063151,54.22377141316732
vgg11,silu,adamw,cifar100,2,25,-0.8377915929484221,0.9882826275295682,0.9742232428656684,0.8128699579328705,36.89662403530545,54.22848214043511
