arch,activation,optimizer,dataset,seed,n_epochs,r_mean_active_frac,mean_active_frac_start,mean_active_frac_end,r_mean_effective_rank,mean_effective_rank_start,mean_effective_rank_end
vgg11,relu,adam,cifar10,2,25,-0.7591705406156276,0.5663575463824801,0.3797766144076983,0.32858188309760833,37.0680849287245,40.248608907063804
vgg11,relu,adam,cifar100,0,25,-0.741054572784855,0.5440423430667983,0.3750285158554713,0.8034222484509032,32.59935082329644,45.70113605923123
vgg11,relu,adam,cifar100,1,25,-0.7694772135774168,0.5476827116476165,0.3789819876352946,0.8135595183392355,34.55236371358236,46.833272298177086
vgg11,relu,adam,cifar100,2,25,-0.7700864751583717,0.5447323703103595,0.3843343274460898,0.8088115765015688,33.52815681033664,46.94767294989692
vgg11,silu,adam,cifar10,0,25,0.8140469954903498,0.9919673071967232,0.9986536900202432,0.6102946452181277,37.378572675916885,40.76356569925944
vgg11,silu,adam,cifar10,1,25,0.8282250137613765,0.992772102355957,0.9984546105066936,0.421521525935845,38.53679847717285,41.1504692501492
vgg11,silu,adam,cifar10,2,25,0.8795076883474181,0.9928885565863717,0.9986255036460028,0.4872299678932094,38.747242503696015,41.46385722690158
vgg11,silu,adam,cifar100,0,25,0.7379620684265074,0.9923042721218532,0.99736711051729,0.8570996948057896,35.28892453511556,49.3573104010688
vgg11,silu,adam,cifar100,1,25,0.7578896107376866,0.9927802615695528,0.9972295628653632,0.86985927507921,36.94448365105523,49.77055146959093
vgg11,silu,adam,cifar100,2,25,0.7754626544023585,0.9918118582831488,0.997459610303243,0.8551674342201474,35.42688666449653,49.632586585150825
