arch,activation,dataset,seed,n_epochs,r_active,r_rank,active_start,active_end,rank_start,rank_end
resnet18,relu,cifar100,1,25,-0.9930769230769231,0.9900000000000001,0.5213380473501542,0.4038735943682053,50.07435002046473,56.59676764993107
resnet18,relu,cifar100,2,25,-0.9976923076923077,0.9969230769230769,0.5318949187503141,0.3900515612433938,44.39419578103458,56.47494260002585
resnet18,silu,cifar10,0,25,0.9684615384615385,0.8423076923076923,0.992651672924266,0.9972091667792377,43.81477367176729,56.45749686746037
resnet18,silu,cifar10,1,25,0.98,0.9523076923076922,0.992376916548785,0.9972122942700106,47.171466042013726,56.59047564338236
resnet18,silu,cifar10,2,25,0.9584615384615384,0.933076923076923,0.9938526995041792,0.9974668797324684,44.71674705954159,56.867250330307904
resnet18,silu,cifar100,0,25,0.21384615384615382,0.9784615384615385,0.992087855058558,0.9951568666626426,45.788180856143725,57.89630441104664
resnet18,silu,cifar100,1,25,0.1446153846153846,0.9907692307692307,0.991893025005565,0.995438435498406,43.99886580074535,57.91398844999426
resnet18,silu,cifar100,2,25,0.38384615384615384,0.9953846153846154,0.9917145897360408,0.99503176352557,44.82652810040642,58.48746692433077
vgg11,gelu,cifar10,0,25,0.976923076923077,0.9553846153846154,0.9800186157226562,0.9967081016964384,40.19181399875217,46.27537939283583
vgg11,gelu,cifar10,1,25,0.9638461538461539,0.9738461538461539,0.9793232745594448,0.9966503779093424,39.8105067147149,46.437594731648765
vgg11,gelu,cifar10,2,25,0.9823076923076923,0.94,0.9817291895548502,0.9966432253519694,40.056250148349335,46.35578282674154
vgg11,gelu,cifar100,0,25,0.7407692307692308,0.9946153846153847,0.9824455049302844,0.9939646191067166,40.586623933580185,54.47717920939128
vgg11,gelu,cifar100,1,25,0.9476923076923076,0.9923076923076923,0.9813959333631728,0.994452675183614,38.89802614847819,53.88341352674696
vgg11,gelu,cifar100,2,25,0.9492307692307692,0.9861538461538462,0.985653559366862,0.9942172368367512,39.59074995252821,54.41963534884982
vgg11,mish,cifar10,0,25,0.7984615384615384,0.9892307692307692,0.991394148932563,0.9986777835422092,40.30970986684164,47.09898546006944
vgg11,mish,cifar10,1,25,0.8799999999999999,0.9807692307692308,0.991628540886773,0.9988390604654948,40.62209235297309,47.18174595303006
vgg11,mish,cifar10,2,25,0.693076923076923,0.9792307692307692,0.9906958474053276,0.9986051983303494,38.66806856791178,47.09191534254286
vgg11,mish,cifar100,0,25,0.9184615384615386,0.9976923076923077,0.9926776885986328,0.9975145392947726,40.51584794786241,53.98058149549696
vgg11,mish,cifar100,1,25,0.9853846153846154,0.9930769230769231,0.992547247144911,0.9976753658718532,40.56604364183214,53.77211125691732
vgg11,mish,cifar100,2,25,0.9484615384615385,0.9969230769230769,0.9923496246337892,0.9973993301391602,40.369805653889976,54.01677237616645
vgg11,relu,cifar10,0,25,-0.8792307692307693,0.9900000000000001,0.5439271860652499,0.4538447856903076,33.9762347539266,45.494727770487465
vgg11,relu,cifar10,1,25,-0.7723076923076923,0.9946153846153847,0.5405495961507162,0.451788885725869,33.90893946753608,45.51190588209364
vgg11,relu,cifar10,2,25,-0.8823076923076922,0.98,0.5335641437106662,0.449200087123447,33.15214718712701,45.043239169650604
vgg11,relu,cifar100,0,25,-0.9261538461538461,0.9969230769230769,0.542854732937283,0.4233548906114366,34.43888367546929,52.26212035285102
vgg11,relu,cifar100,1,25,-0.9584615384615384,0.9884615384615385,0.5401361584663391,0.417236222161187,32.9177106751336,51.93733702765571
vgg11,relu,cifar100,2,25,-0.9561538461538461,0.9969230769230769,0.5407940546671549,0.4168310976690716,33.686753273010254,52.03137567308214
vgg11,silu,cifar10,0,25,0.9707692307692307,0.9853846153846154,0.993812772962782,0.9987535807821486,40.894621743096245,47.14363225301107
vgg11,silu,cifar10,1,25,0.9684615384615385,0.976923076923077,0.994147088792589,0.9988205697801378,41.88918198479546,47.24916140238444
vgg11,silu,cifar10,2,25,0.9746153846153847,0.9900000000000001,0.9943363401624892,0.9989528523551092,40.969601737128365,47.14887852138944
