activation,seed,epoch,test_acc,mean_mu,median_mu,mean_sigma,frac_mu_negative,mean_standardized_mu
softplus_beta5,2,0,0.4151,0.02619973011314869,-0.008193759247660637,0.8424631357192993,0.6508709016393442,-0.0077225263230502605
softplus_beta5,2,6,0.7647,-0.045271966606378555,-0.04380853474140167,0.3738993704319,0.8227459016393442,-0.13552680611610413
softplus_beta5,2,12,0.839,-0.06831929087638855,-0.06166525185108185,0.2824156880378723,0.7745901639344263,-0.2899869382381439
softplus_beta5,2,18,0.8858,-0.06482215970754623,-0.06093022972345352,0.26056787371635437,0.7792008196721312,-0.3380029797554016
softplus_beta5,2,24,0.922,-0.06110278144478798,-0.058671120554208755,0.2543959617614746,0.7820184426229508,-0.2961677610874176
gelu,0,0,0.4552,0.03362908959388733,-0.0007008628454059362,0.9095547795295715,0.5238217213114754,0.0273409616202116
gelu,0,6,0.769,-0.041486795991659164,-0.028891000896692276,0.41745832562446594,0.8629610655737705,-0.1052997037768364
gelu,0,12,0.854,-0.05067265406250954,-0.026377273723483086,0.3272273540496826,0.7950819672131147,-0.1588132530450821
gelu,0,18,0.8956,-0.049248579889535904,-0.021007198840379715,0.30031850934028625,0.7418032786885246,-0.17128930985927582
gelu,0,24,0.9254,-0.04689508676528931,-0.0192909836769104,0.292865514755249,0.7287397540983607,-0.1722404658794403
gelu,1,0,0.4553,0.03287556394934654,-0.0027701067738234997,0.908073365688324,0.5819672131147541,0.026575980708003044
gelu,1,6,0.7694,-0.04483729600906372,-0.036229223012924194,0.41909289360046387,0.8770491803278688,-0.11252948641777039
gelu,1,12,0.8608,-0.05683232843875885,-0.03390147164463997,0.3282672166824341,0.8096823770491803,-0.1759660542011261
gelu,1,18,0.8994,-0.05460338294506073,-0.027624763548374176,0.3022315800189972,0.7366803278688525,-0.18784454464912415
gelu,1,24,0.9239,-0.052231304347515106,-0.025891341269016266,0.2945144474506378,0.7282274590163934,-0.19442106783390045
gelu,2,0,0.4478,0.032204706221818924,-0.0025828336365520954,0.9076517820358276,0.5681352459016393,0.026391180232167244
gelu,2,6,0.8076,-0.04676946997642517,-0.03865624964237213,0.4181574881076813,0.8931864754098361,-0.11986017227172852
gelu,2,12,0.8531,-0.05705595389008522,-0.033827897161245346,0.330241858959198,0.7917520491803278,-0.17742007970809937
gelu,2,18,0.9043,-0.05595368146896362,-0.025546686723828316,0.3042740225791931,0.7274590163934426,-0.21713070571422577
gelu,2,24,0.9257,-0.053327709436416626,-0.024068839848041534,0.2966185510158539,0.7133709016393442,-0.1999923139810562
