arch,seed,layer_idx,n_layers,layer_name,active_frac,gate_mean,grad_norm,grad_sparsity,grad_entropy,effective_rank,stable_rank
resnet50,0,10,17,layer3.2.relu,0.50018310546875,0.50018310546875,0.7214695811271667,0.049163818359375,10.094558715820312,7.208224296569824,1.8164992332458496
resnet50,0,11,17,layer3.3.relu,0.496246337890625,0.496246337890625,0.5241851806640625,0.05047607421875,10.093008995056152,7.136970520019531,1.7392213344573975
resnet50,0,12,17,layer3.4.relu,0.501190185546875,0.501190185546875,0.40096715092658997,0.042938232421875,10.093944549560547,7.070296764373779,1.6909130811691284
resnet50,0,13,17,layer3.5.relu,0.498992919921875,0.498992919921875,0.32125502824783325,0.050811767578125,10.090644836425781,7.02418327331543,1.6601550579071045
resnet50,0,14,17,layer4.0.relu,0.4994659423828125,0.4994659423828125,0.3261965811252594,0.0561370849609375,10.773848533630371,7.544409275054932,2.30135178565979
resnet50,0,15,17,layer4.1.relu,0.5006103515625,0.5006103515625,0.21698954701423645,0.03656005859375,9.408330917358398,7.353897571563721,1.975653886795044
resnet50,0,16,17,layer4.2.relu,0.49566650390625,0.49566650390625,0.15349481999874115,0.03265380859375,9.415512084960938,7.158318519592285,1.773226022720337
resnet50,1,0,17,relu,0.9934898614883423,0.9934898614883423,23.33818817138672,0.8517990112304688,,7.602830410003662,2.467329502105713
resnet50,1,1,17,layer1.0.relu,0.49941253662109375,0.49941253662109375,16.931198120117188,0.0673980712890625,11.438226699829102,7.588310241699219,2.3920435905456543
resnet50,1,2,17,layer1.1.relu,0.5001449584960938,0.5001449584960938,11.395421981811523,0.0770721435546875,11.439685821533203,7.34445333480835,1.9720253944396973
resnet50,1,3,17,layer1.2.relu,0.49935150146484375,0.49935150146484375,7.583489894866943,0.0636138916015625,11.440075874328613,7.305830478668213,1.917955994606018
resnet50,1,4,17,layer2.0.relu,0.5002326965332031,0.5002326965332031,5.892331123352051,0.07952880859375,12.110971450805664,7.581702709197998,2.4120492935180664
resnet50,1,5,17,layer2.1.relu,0.4984893798828125,0.4984893798828125,4.02067232131958,0.0484466552734375,10.772435188293457,7.342905521392822,1.9881300926208496
resnet50,1,6,17,layer2.2.relu,0.498260498046875,0.498260498046875,2.7325491905212402,0.05279541015625,10.76738166809082,7.255188465118408,1.864888310432434
resnet50,1,7,17,layer2.3.relu,0.4989166259765625,0.4989166259765625,1.9727516174316406,0.0524444580078125,10.771781921386719,7.182137966156006,1.7826018333435059
resnet50,1,8,17,layer3.0.relu,0.49969482421875,0.49969482421875,1.6919419765472412,0.06342315673828125,11.445785522460938,7.520120620727539,2.282320737838745
resnet50,1,9,17,layer3.1.relu,0.499786376953125,0.499786376953125,1.1535133123397827,0.03759765625,10.093015670776367,7.335180282592773,1.9629693031311035
resnet50,1,10,17,layer3.2.relu,0.499420166015625,0.499420166015625,0.8021247386932373,0.0491943359375,10.095476150512695,7.202797889709473,1.808412790298462
resnet50,1,11,17,layer3.3.relu,0.498931884765625,0.498931884765625,0.5765701532363892,0.043701171875,10.093082427978516,7.085149765014648,1.7188167572021484
