alpha,seed,kernel_name,curv_mean,curv_std,curv_min,curv_max,curv_frac_negative,curv_range,loss_final,output_iou_final
10.0,3,sobel_x,391.7862409634912,26.573551164578184,331.50247864011106,470.61405170634174,0.0,139.11157306623068,5.365309404233535,0.9922178988326849
10.0,4,sobel_x,386.65457418442327,21.05460953849059,341.33629392840703,435.11945953778053,0.0,93.7831656093735,4.564523700524239,0.9941747572815534
10.0,5,sobel_x,410.6207345928925,24.552144765531725,362.1228435453095,484.5225619829474,0.0,122.39971843763794,1.6170120750144754,1.0
10.0,6,sobel_x,491.56326611929194,44.94095973457962,359.5466459103136,583.2228080748791,0.0,223.67616216456554,12.718051098303283,0.9786821705426356
10.0,7,sobel_x,440.87692424814577,38.77584101307814,356.07871542930883,569.4987428039866,0.0,213.42002737467777,2.4205284637172326,0.99609375
13.0,0,sobel_x,221.42284731131076,24.36580965758461,168.59363723575882,281.5812371412818,0.0,112.98759990552298,10.58082016220673,0.9807321772639692
13.0,1,sobel_x,273.14504098067493,32.61951551470694,190.32466949653326,346.7304824908979,0.0,156.40581299436462,40.18142957285018,0.9275092936802974
13.0,2,sobel_x,154.1195295314305,25.007498632615984,92.47024522451852,207.48605150444632,0.0,115.0158062799278,18.672328107608866,0.9656488549618321
13.0,3,sobel_x,175.39511277788003,21.29600737552857,130.15894856138743,224.7182097008249,0.0,94.55926113943747,16.37077836633122,0.9693486590038314
13.0,4,sobel_x,130.84421650943293,8.912734787659685,112.16781887668503,154.0749239552497,0.0,41.907105078564655,8.46841238477278,0.9844660194174757
13.0,5,sobel_x,190.2726370046774,33.80312456357616,120.11606757411641,293.2373803954391,0.0,173.1213128213227,14.018824204795173,0.972972972972973
13.0,6,sobel_x,175.8361383679722,18.390917205996647,143.11273470468677,221.29412235472046,0.0,78.18138765003368,30.504037153832712,0.9427480916030534
13.0,7,sobel_x,213.67566030831378,22.588860571753496,162.80871184903845,263.33547275925184,0.0,100.5267609102134,8.279526355973838,0.9844660194174757
