activation,seed,epoch,test_acc,epoch_time,gate_mean,active_frac,pre_activation_var,post_activation_var,bn_mean_abs_gamma,bn_mean_abs_beta,hessian_trace_estimate,top_eigenvalue_estimate
mish,0,12,0.8543,15.985793828964233,0.5411685109138489,0.9965294117647059,0.2218149543246802,0.08456461761585053,0.24443787336349487,0.06232769042253494,503.02073391079904,58.141014099121094
mish,0,18,0.8872,16.020742893218994,0.5408455729484558,0.9964764705882353,0.19545347889994874,0.07148751942440867,0.22346392273902893,0.061490416526794434,835.6667852163315,109.09808349609375
mish,0,24,0.9189,19.463659286499023,0.5423378348350525,0.9966729411764705,0.1848814090823426,0.06686027183690492,0.21905803680419922,0.05987852066755295,1355.3072332143784,139.78390502929688
mish,1,0,0.4562,16.155028343200684,0.5941917300224304,0.991735294117647,0.9599376811700708,0.46471456000033545,0.8148442506790161,0.027983296662569046,384.06274562180045,47.26130676269531
mish,1,6,0.7958,16.13344168663025,0.5478781461715698,0.9962588235294118,0.2862800767316538,0.11685379660304855,0.32503992319107056,0.059972167015075684,329.2882318496704,35.89989471435547
mish,1,12,0.833,16.19528555870056,0.5395475625991821,0.9965129411764706,0.21823950363870928,0.08236464452655877,0.2424435019493103,0.0635385811328888,485.59647346735,101.09488677978516
mish,1,18,0.8945,16.049649238586426,0.5390270948410034,0.9965870588235294,0.1929130084155237,0.07057294038617436,0.22185705602169037,0.0627698004245758,945.1910345077515,81.29498291015625
mish,1,24,0.9186,16.010767459869385,0.5405832529067993,0.9969882352941176,0.18321341955486467,0.06659454378463767,0.21763713657855988,0.061117008328437805,1170.0892238378524,177.12353515625
mish,2,0,0.4416,16.018861532211304,0.5887821912765503,0.9923388235294117,0.9568729295450098,0.4940450857667362,0.8151726722717285,0.027948539704084396,112.78925115168094,60.81229782104492
mish,2,6,0.7728,16.07777738571167,0.5567829608917236,0.9964082352941176,0.27449405938386917,0.11484219090026968,0.3221298158168793,0.056353602558374405,383.46946851611136,61.94846725463867
mish,2,12,0.8417,16.201794147491455,0.5477679371833801,0.9967129411764706,0.20770319616969893,0.07797582447528839,0.2401052862405777,0.061366450041532516,570.0676078915596,48.881107330322266
mish,2,18,0.889,16.12439274787903,0.547238290309906,0.9968282352941177,0.18263152165009694,0.06479668595335063,0.21922338008880615,0.0607580691576004,642.6270500183106,94.41987609863281
mish,2,24,0.918,16.060720682144165,0.54774409532547,0.9969670588235294,0.1723890303469756,0.06023424729595289,0.21478720009326935,0.05919374153017998,1171.7759459257127,146.00694274902344
