image_h,image_w,kernel_name,target_name,alpha,c,activation,noise_std,tv_lambda,tikhonov_lambda,optimizer,init_mode,seed,time_sec,loss_init,loss_final,grad_init,grad_final,output_mse_final,output_binary_acc_final,output_iou_final,input_psnr_final,input_ssim_final,active_grad_frac_final,saturation_frac_final,rel_loss_reduction,num_iters_recorded,snr_db
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.01,0.0,0.0,adam,random,2,47.644253969192505,1079.8432231227016,621.464071521566,29.231381769342853,20.776492749674322,0.15172462683631982,1.0,1.0,4.570017646844121,0.003743663635075427,1.0,0.0,0.4244867604721268,600,40.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.01,0.0,0.0,adam,random,3,47.7465980052948,1080.4702196897815,621.4643470274908,29.28314202245554,20.77650014990353,0.1517246940985085,1.0,1.0,4.568527110887873,0.003833697189789994,1.0,0.0,0.4248204756574206,600,40.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.01,0.0,0.0,adam,random,4,47.88774085044861,1069.1516216859936,621.4639831752579,28.921846964415572,20.77650330579681,0.15172460526739695,1.0,1.0,4.569219776267059,0.0022861379465886427,1.0,0.0,0.4187316648360471,600,40.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.01,0.0,0.0,adam,random,5,46.76767635345459,1077.0537546737942,621.463979668596,29.16667645944682,20.776505106127377,0.15172460441127833,1.0,1.0,4.5584950638029955,0.0007970535328652355,1.0,0.0,0.4229963203119625,600,40.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.01,0.0,0.0,adam,random,6,48.184412240982056,1060.8090057930262,621.4642735292173,28.89601400917505,20.776494196766972,0.15172467615459406,1.0,1.0,4.563183978958115,0.0013275733067075175,1.0,0.0,0.414160070158312,600,40.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.01,0.0,0.0,adam,random,7,47.15773105621338,1089.687003827544,621.4645037874063,29.55204878090353,20.776508509320475,0.15172473236997225,1.0,1.0,4.583308563697437,0.005103923832697299,1.0,0.0,0.4296853118331211,600,40.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0031622776601683794,0.0,0.0,adam,random,0,47.94382858276367,1087.2735503111617,630.1200283852743,28.981341741684822,20.92395297923519,0.1538378975549986,1.0,1.0,4.595433040086056,0.0034851068245747583,1.0,0.0,0.42045860657150796,600,50.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0031622776601683794,0.0,0.0,adam,random,1,49.081225633621216,1069.9661394967354,630.120111424007,28.599843855754262,20.92395158140868,0.1538379178281267,1.0,1.0,4.59715870543607,0.00351885883744296,1.0,0.0,0.4110840631644778,600,50.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0031622776601683794,0.0,0.0,adam,random,2,47.431028604507446,1090.8623790628326,630.1200631023668,29.36943942056942,20.923946362459112,0.15383790603085126,1.0,1.0,4.591432044333245,0.0038593465436452716,1.0,0.0,0.4223652083008791,600,50.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0031622776601683794,0.0,0.0,adam,random,3,48.57051610946655,1091.5983045711125,630.1202143583973,29.4214783321409,20.923949003453362,0.1538379429585931,1.0,1.0,4.5897133314998975,0.003771761820539465,1.0,0.0,0.4227544952023623,600,50.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0031622776601683794,0.0,0.0,adam,random,4,47.20154881477356,1080.1193912793688,630.1200208072624,29.057295804912016,20.923948455770585,0.15383789570489806,1.0,1.0,4.590061587476236,0.00211273442363663,1.0,0.0,0.4166200274759401,600,50.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0031622776601683794,0.0,0.0,adam,random,5,47.78342056274414,1088.0045363930262,630.1200018132366,29.30112144195732,20.923944177243957,0.15383789106768472,1.0,1.0,4.577470842519889,0.00048368690635567393,1.0,0.0,0.4208480013307456,600,50.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0031622776601683794,0.0,0.0,adam,random,6,47.87747311592102,1071.6861967145035,630.1201599312425,29.02970518038149,20.923945029128248,0.1538379296707135,1.0,1.0,4.582408358752769,0.0011134523881513223,1.0,0.0,0.4120292284597689,600,50.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0031622776601683794,0.0,0.0,adam,random,7,47.21440839767456,1100.7506539661135,630.1202428248748,29.69006423294437,20.923947627785953,0.1538379499084167,1.0,1.0,4.6001772165124075,0.004887617751711733,1.0,0.0,0.427554059991253,600,50.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.001,0.0,0.0,adam,random,0,46.52604603767395,1090.787473236529,632.8827286872645,29.024716805124193,20.970441121492932,0.15451238493341418,1.0,1.0,4.597059340523576,0.0034002337515023416,1.0,0.0,0.419792815543245,600,60.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.001,0.0,0.0,adam,random,1,47.38251757621765,1073.4617307738288,632.8828135403959,28.64327451185855,20.97043831085412,0.15451240564951071,1.0,1.0,4.599477020755435,0.0034939047093815916,1.0,0.0,0.41042815463559357,600,60.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.001,0.0,0.0,adam,random,2,48.02956795692444,1094.3856868849095,632.8827643236024,29.413403538947144,20.970431528269255,0.15451239363369199,1.0,1.0,4.594287436554763,0.00391292761688021,1.0,0.0,0.4217004371419935,600,60.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.001,0.0,0.0,adam,random,3,48.36167359352112,1095.1560587489198,632.8828944031022,29.465521683176895,20.97043742886189,0.15451242539138238,1.0,1.0,4.592256217415849,0.0037623241838472764,1.0,0.0,0.4221071149201397,600,60.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.001,0.0,0.0,adam,random,4,47.62333273887634,1083.6264493118074,632.8827620048633,29.100436556100878,20.97043531113816,0.15451239306759357,1.0,1.0,4.5925090569214415,0.002061634576891666,1.0,0.0,0.4159585506547978,600,60.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.001,0.0,0.0,adam,random,5,47.846518754959106,1091.5062223879747,632.8827129682539,29.343945943633937,20.970432251207193,0.15451238109576512,1.0,1.0,4.57928014343208,0.0004251140426317216,1.0,0.0,0.4201748922844927,600,60.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.001,0.0,0.0,adam,random,6,47.672053813934326,1075.1646112558788,632.8828546947097,29.072295418613162,20.97043316728638,0.15451241569695062,1.0,1.0,4.58463527119238,0.0010465659989794204,1.0,0.0,0.4113618993137696,600,60.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.001,0.0,0.0,adam,random,7,47.65821623802185,1104.288032089163,632.8828925814789,29.73401458977496,20.97043439921129,0.15451242494665013,1.0,1.0,4.60145427282167,0.0048252546237565995,1.0,0.0,0.4268860349920206,600,60.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.1778279410038923,0.0,0.0,adam,random,0,47.00654363632202,928.3610521946985,329.9221973437459,38.6556090706792,19.842389366809346,0.08054741146087546,0.9716796875,0.9448144624167459,4.056648295861743,0.005368119887326243,1.0,0.0,0.6446186571875339,600,15.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.1778279410038923,0.0,0.0,adam,random,1,47.60078454017639,905.5958265167286,329.9222775311357,37.923999575051795,19.84201089335582,0.08054743103787493,0.9716796875,0.9448144624167459,4.059106296578953,0.005633652804642582,1.0,0.0,0.6356848520380839,600,15.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.1778279410038923,0.0,0.0,adam,random,2,47.27140498161316,931.5047964792798,329.9220048170749,39.28419064720995,19.842069237354725,0.08054736445729367,0.97119140625,0.9438896814075131,4.05723867506769,0.005245954205993449,1.0,0.0,0.6458182437019652,600,15.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.1778279410038923,0.0,0.0,adam,random,3,48.9038622379303,929.5557062751749,329.9224032114995,39.168057466283784,19.842419009652627,0.0805474617215575,0.97119140625,0.9438896814075131,4.056973404405593,0.005691020374858244,1.0,0.0,0.6450751676480666,600,15.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.1778279410038923,0.0,0.0,adam,random,4,49.1864550113678,919.8038308801572,329.9224900226395,38.76416348416351,19.842079190142556,0.08054748291568348,0.971923828125,0.9452641599238458,4.059972510789968,0.00536351554508749,1.0,0.0,0.6413121157508794,600,15.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.1778279410038923,0.0,0.0,adam,random,5,47.39672780036926,930.1203358648027,329.9219089828341,39.16465445018789,19.842295333324042,0.08054734106026223,0.97119140625,0.9438896814075131,4.058180809401717,0.0056812969110943395,1.0,0.0,0.6452911561426287,600,15.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.1778279410038923,0.0,0.0,adam,random,6,47.092509508132935,909.8235683039371,329.9232954334212,38.91125010676938,19.842137927430727,0.08054767954917509,0.97119140625,0.9438896814075131,4.059566645547195,0.005278079319663078,1.0,0.0,0.6373766223176068,600,15.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.1778279410038923,0.0,0.0,adam,random,7,46.60769200325012,944.0130644540972,329.9222853732948,39.77760289150912,19.842115925041522,0.08054743295246455,0.971435546875,0.9443651925820257,4.056130633375733,0.005345177197639246,1.0,0.0,0.6505108903719654,600,15.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.1,0.0,0.0,adam,random,0,47.614399909973145,1012.5052007378856,387.51648393250224,40.24918087598954,22.30623472800594,0.09460851658508355,0.995361328125,0.9907677356656949,4.23890156901621,0.004298536563397994,1.0,0.0,0.6172696360965938,600,20.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.1,0.0,0.0,adam,random,1,48.5305540561676,988.8117441251997,387.51692968136535,39.519793151036225,22.3065800361931,0.09460862541048959,0.994873046875,0.9898008742107819,4.2345762801308435,0.004413530096544231,1.0,0.0,0.6080983746565419,600,20.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.1,0.0,0.0,adam,random,2,47.23147773742676,1016.2644852430108,387.5138282329512,40.938771182487166,22.306304049665183,0.09460786822093535,0.994873046875,0.9898008742107819,4.232428055622195,0.004622847872875371,1.0,0.0,0.6186880149213437,600,20.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.1,0.0,0.0,adam,random,3,48.50040078163147,1015.9642883073204,387.51925053770924,40.82889911806593,22.306318187121903,0.09460919202580792,0.9951171875,0.9902865468674114,4.235962722227429,0.004454332814924713,1.0,0.0,0.6185700078264089,600,20.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.1,0.0,0.0,adam,random,4,48.09159064292908,1003.6147878196881,387.51690391092563,40.34905386873393,22.306133163644045,0.09460861911887833,0.994873046875,0.9898008742107819,4.231085935980511,0.004239991112999888,1.0,0.0,0.6138788421474038,600,20.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.1,0.0,0.0,adam,random,5,47.24884510040283,1013.6775546135286,387.51513211303325,40.73980021589226,22.30656963485525,0.09460818655103351,0.99462890625,0.9893203883495145,4.230273990733945,0.0045259128896732665,1.0,0.0,0.6177136108525398,600,20.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.1,0.0,0.0,adam,random,6,47.7332923412323,992.1825971152603,387.5162291677617,40.46252179168211,22.30634911859749,0.09460845438666057,0.994873046875,0.9898008742107819,4.234615960854012,0.004247215833241282,1.0,0.0,0.6094305319459815,600,20.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.1,0.0,0.0,adam,random,7,47.52243375778198,1029.466045938676,387.51902293666257,41.45051592015477,22.306651118190263,0.09460913645914613,0.994873046875,0.9898058252427184,4.245711664121588,0.005338747335970446,1.0,0.0,0.6235727982817351,600,20.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.03162277660168379,0.0,0.0,adam,random,0,49.36441230773926,1106.3353174228728,451.99759314577,41.92070701989159,24.422865079254958,0.110350974889104,1.0,1.0,4.511687832371795,0.003708617877264074,1.0,0.0,0.5914461140057742,600,30.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.03162277660168379,0.0,0.0,adam,random,1,47.83716893196106,1081.8263458014428,451.99826320228397,41.19126603321105,24.422918640066506,0.11035113847712011,1.0,1.0,4.511962438736569,0.003481511269381165,1.0,0.0,0.5821896324151425,600,30.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.03162277660168379,0.0,0.0,adam,random,2,47.52165412902832,1110.6353965401627,451.9972215509555,42.65881100569045,24.42278190856796,0.11035088416771374,1.0,1.0,4.5026464684698455,0.003387681713569959,1.0,0.0,0.5930282584554648,600,30.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.03162277660168379,0.0,0.0,adam,random,3,46.139047622680664,1111.7838662648007,451.9983909154216,42.544063196236785,24.422816449340605,0.11035116965708536,1.0,1.0,4.5031484813018565,0.003855683081394492,1.0,0.0,0.5934476073717675,600,30.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.03162277660168379,0.0,0.0,adam,random,4,47.364426374435425,1097.1521726602532,451.9972223772596,42.00647329648273,24.422811077025283,0.11035088436944815,1.0,1.0,4.502995873983767,0.0026243607161256658,1.0,0.0,0.5880268629634969,600,30.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.03162277660168379,0.0,0.0,adam,random,5,47.56976127624512,1106.9920129223938,451.99758094165503,42.38915261097019,24.422784626177748,0.11035097190958375,1.0,1.0,4.499277389102241,0.0015082183964451035,1.0,0.0,0.5916884894693972,600,30.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.03162277660168379,0.0,0.0,adam,random,6,47.62022829055786,1084.4443627797273,451.99852815151326,42.09313462956871,24.42274483007956,0.11035120316199054,1.0,1.0,4.502384676071946,0.001687202812457964,1.0,0.0,0.583198047161297,600,30.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.03162277660168379,0.0,0.0,adam,random,7,49.473682165145874,1124.446062791524,451.9991183215569,43.18570549047361,24.422870243406535,0.11035134724647386,1.0,1.0,4.52286626878423,0.005081465850965345,1.0,0.0,0.5980250780553811,600,30.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.01,0.0,0.0,adam,random,0,47.7781777381897,1139.8814811810685,475.0203174711556,42.49719145406604,25.078708209773733,0.11597175719510634,1.0,1.0,4.587817269568182,0.0035924687388578136,1.0,0.0,0.583272186351364,600,40.0
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.01,0.0,0.0,adam,random,1,46.837372064590454,1115.1146210702702,475.02035193229744,41.76729304661536,25.078718739474915,0.11597176560847106,1.0,1.0,4.588956223597379,0.0033889469015410574,1.0,0.0,0.5740165692775331,600,40.0
