alpha,seed,layers,iou_final,loss_final,frac_active
20.0,0,1,0.9400570884871551,125.99694808783745,0.4541015625
20.0,0,2,0.729047619047619,493.87489175523535,0.192626953125
20.0,1,1,0.9618138424821002,80.13867819726732,0.47998046875
20.0,1,2,0.7049718574108818,525.0011452241318,0.2119140625
20.0,2,1,0.9476190476190476,110.10108925833197,0.469970703125
20.0,2,2,0.6817538896746818,580.344138314271,0.18212890625
20.0,3,1,0.9398213446168312,128.06785892604404,0.473876953125
20.0,3,2,0.6523163313055685,629.7969750751597,0.191162109375
20.0,4,1,0.9403973509933775,126.08784255805504,0.460205078125
20.0,4,2,0.7052681537731371,527.7977692924599,0.2060546875
20.0,5,1,0.9518129770992366,101.05714401531124,0.466552734375
20.0,5,2,0.6891634980988594,561.3631164630638,0.184814453125
20.0,6,1,0.9635141622659625,75.65361534629308,0.47314453125
20.0,6,2,0.6968411126826969,541.8563082121075,0.19482421875
20.0,7,1,0.9340245051837889,139.88785646144058,0.466064453125
20.0,7,2,0.6793427230046948,590.0769605702968,0.20263671875
25.0,0,1,0.8898698884758365,237.02608987186142,0.419677734375
25.0,0,2,0.6709280303030303,613.1969908865494,0.132080078125
25.0,1,1,0.9216783216783216,168.0225946204535,0.44873046875
25.0,1,2,0.6693434104865376,611.6206159604716,0.143310546875
25.0,2,1,0.9188935771214253,173.05452151634236,0.444580078125
25.0,2,2,0.6627302786962683,636.9821929446925,0.131103515625
25.0,3,1,0.8951241950321988,228.01912469784742,0.436767578125
25.0,3,2,0.6199435559736595,715.2692678411875,0.12109375
25.0,4,1,0.8979310344827586,222.02273308234396,0.431884765625
25.0,4,2,0.6669824727617243,608.0327673672634,0.14501953125
25.0,5,1,0.9083255378858747,196.02498549557302,0.43212890625
25.0,5,2,0.6633333333333333,622.5592466230762,0.1298828125
25.0,6,1,0.9363117870722434,134.0229915486533,0.44091796875
25.0,6,2,0.6617855455833727,629.2173415885823,0.12109375
25.0,7,1,0.8938134810710988,230.17250092915023,0.428955078125
25.0,7,2,0.6447677146879399,674.6759498432232,0.134521484375
30.0,0,1,0.8570127504553734,314.0062250490479,0.302978515625
30.0,0,2,0.6511627906976745,666.2617163711775,0.093505859375
30.0,1,1,0.8975183823529411,223.0453951209178,0.311279296875
30.0,1,2,0.6335374470089497,700.1937325034451,0.09814453125
30.0,2,1,0.8829201101928374,255.06289224197187,0.32177734375
30.0,2,2,0.6392045454545454,694.3424857876237,0.098388671875
30.0,3,1,0.8504504504504504,331.4507381096578,0.3046875
30.0,3,2,0.5953838907206783,776.653470422295,0.091796875
30.0,4,1,0.8668478260869565,293.85636565363274,0.300537109375
30.0,4,2,0.6403218173213441,676.5323081072925,0.100341796875
30.0,5,1,0.8806451612903226,259.0084381929315,0.30859375
30.0,5,2,0.6285578747628083,709.9709113341958,0.08349609375
30.0,6,1,0.8921296296296296,233.0132287811178,0.31396484375
30.0,6,2,0.6415094339622641,676.5034968607087,0.0888671875
30.0,7,1,0.868755676657584,289.0096439899948,0.314697265625
30.0,7,2,0.6363636363636364,701.3453502474686,0.101806640625
40.0,0,1,0.8198840838163174,404.0098861140144,0.22509765625
40.0,0,2,0.5909738717339668,812.4467130753296,0.043212890625
40.0,1,1,0.8406569019085663,359.04266291033343,0.223388671875
40.0,1,2,0.6046074283027738,784.2874587607216,0.0576171875
40.0,2,1,0.832807570977918,371.0048113380343,0.230224609375
40.0,2,2,0.5862559241706161,823.7104838040063,0.04931640625
40.0,3,1,0.8072342302602559,437.19025231871154,0.218017578125
40.0,3,2,0.5582938388625592,877.6990470227797,0.0458984375
40.0,4,1,0.8297682709447415,381.9803498899332,0.21337890625
40.0,4,2,0.6076190476190476,769.852691090302,0.05517578125
40.0,5,1,0.8331830477908025,369.9465266101304,0.21484375
40.0,5,2,0.5723777883246322,847.3170978867206,0.044677734375
40.0,6,1,0.8531943815133666,324.00564278512473,0.228271484375
40.0,6,2,0.5945817490494296,802.8785518996418,0.05126953125
40.0,7,1,0.8204225352112676,408.02074135253173,0.22607421875
40.0,7,2,0.5825797239409805,835.2665594913524,0.045166015625
60.0,0,1,0.7636912462268219,547.9969107428856,0.1494140625
60.0,0,2,0.49167063303188957,1049.43139954659,0.01611328125
60.0,1,1,0.7776344086021505,517.0459762100561,0.14501953125
60.0,1,2,0.5282026768642447,970.2973786830759,0.019287109375
60.0,2,1,0.7830478700043917,493.8731949055051,0.145263671875
60.0,2,2,0.49379178605539636,1040.086566204845,0.016845703125
60.0,3,1,0.7632371932845459,550.0252199354491,0.146728515625
60.0,3,2,0.4840703756538279,1068.6423991344368,0.016357421875
60.0,4,1,0.782439446366782,502.99941777648223,0.152099609375
60.0,4,2,0.5193502150023889,986.2308253264066,0.015380859375
60.0,5,1,0.7563605002156102,565.0861618748405,0.147705078125
60.0,5,2,0.5100478468899522,1004.6933986968172,0.0146484375
60.0,6,1,0.7894273127753304,478.01403513799085,0.1552734375
60.0,6,2,0.5204567078972407,986.4579355510054,0.017578125
60.0,7,1,0.7539445628997867,577.2138039990934,0.150390625
60.0,7,2,0.483349191246432,1068.8167156232018,0.016845703125
