alpha,seed,null_dim,sigma_min,sigma_max,stable_rank,condition_number,n_nonzero_sv
25.0,1,164,1.7528004307004153e-34,13.604959524734685,8.685822773546171,13604959524734.686,92
25.0,2,152,1.8885855663167152e-31,12.033088897969693,11.238403608891435,12033088897969.693,104
25.0,3,153,1.1578309970619844e-35,13.758257555379906,10.469789999456845,13758257555379.906,103
25.0,4,148,1.6788843980253706e-33,11.92875717551531,12.850319061314602,11928757175515.31,108
30.0,0,164,6.63412719783565e-36,13.453115580197167,13.555427595540962,13453115580197.168,92
30.0,1,177,2.0716581996162944e-37,15.540594812146601,7.825298140971981,15540594812146.602,79
30.0,2,168,1.4354731563629017e-34,13.335860931950979,10.352422786807331,13335860931950.979,88
30.0,3,165,3.388048663439739e-39,15.765706542006267,9.593543568359795,15765706542006.268,91
30.0,4,164,1.4009869187202392e-36,13.76628335845448,11.488771598129354,13766283358454.48,92
40.0,0,184,2.3245979373704243e-41,17.353457044747703,10.254853358507328,17353457044747.703,72
40.0,1,192,5.108139281685892e-43,19.12664215577359,6.589128255404638,19126642155773.594,64
40.0,2,187,1.876620166985021e-40,17.189298801030464,7.20452005132201,17189298801030.465,69
40.0,3,184,1.621876132766629e-41,18.85944572967252,8.757711404782437,18859445729672.52,72
40.0,4,188,2.0377201313990197e-41,17.651825027932713,9.140374220063634,17651825027932.715,68
60.0,0,198,6.929764259090637e-41,25.96492866530929,6.28578964838584,25964928665309.293,58
60.0,1,212,3.8340487647221096e-41,25.31859898734692,5.296178951445631,25318598987346.92,44
60.0,2,207,1.6558336500994276e-41,25.47659161184188,3.6854208650271465,25476591611841.88,49
60.0,3,209,5.076221463254823e-41,25.98628218843488,6.302592355910187,25986282188434.883,47
60.0,4,208,9.16562255305383e-42,25.957251761043995,6.185641399976529,25957251761043.996,48
