layer,mean_abs_gamma,mean_abs_beta,activation,optimizer,seed,epoch
stages.4.shortcut.1,0.9503260850906372,0.18777935206890106,relu,adamw,1,12
stages.5.bn1,0.9584327340126038,0.2624348998069763,relu,adamw,1,12
stages.5.bn2,0.9495081901550293,0.19529522955417633,relu,adamw,1,12
stages.6.bn1,0.9807485342025757,0.19472375512123108,relu,adamw,1,12
stages.6.bn2,1.0070669651031494,0.0915287435054779,relu,adamw,1,12
stages.6.shortcut.1,0.9709581136703491,0.0915287435054779,relu,adamw,1,12
stages.7.bn1,0.9785146713256836,0.10844501852989197,relu,adamw,1,12
stages.7.bn2,0.9301799535751343,0.08411603420972824,relu,adamw,1,12
stem_bn,0.9510725736618042,0.14151307940483093,relu,adamw,1,18
stages.0.bn1,0.988645076751709,0.127711683511734,relu,adamw,1,18
stages.0.bn2,1.0214483737945557,0.10742205381393433,relu,adamw,1,18
stages.1.bn1,0.9686297178268433,0.21501190960407257,relu,adamw,1,18
stages.1.bn2,0.9925404787063599,0.12336421012878418,relu,adamw,1,18
stages.2.bn1,0.9831036329269409,0.16222737729549408,relu,adamw,1,18
stages.2.bn2,1.000810980796814,0.1606798768043518,relu,adamw,1,18
stages.2.shortcut.1,0.9729519486427307,0.1606798768043518,relu,adamw,1,18
stages.3.bn1,0.9716930389404297,0.24258920550346375,relu,adamw,1,18
stages.3.bn2,0.9746670722961426,0.19772188365459442,relu,adamw,1,18
stages.4.bn1,0.9797573685646057,0.23293213546276093,relu,adamw,1,18
stages.4.bn2,1.0460491180419922,0.20939773321151733,relu,adamw,1,18
stages.4.shortcut.1,0.9331727623939514,0.20939773321151733,relu,adamw,1,18
stages.5.bn1,0.9518334865570068,0.2863963544368744,relu,adamw,1,18
stages.5.bn2,0.9583361148834229,0.21028952300548553,relu,adamw,1,18
stages.6.bn1,0.9783895015716553,0.21027147769927979,relu,adamw,1,18
stages.6.bn2,1.0208996534347534,0.09393036365509033,relu,adamw,1,18
stages.6.shortcut.1,0.9712297916412354,0.09393036365509033,relu,adamw,1,18
stages.7.bn1,0.9736863970756531,0.11999829858541489,relu,adamw,1,18
stages.7.bn2,0.9421271681785583,0.08192827552556992,relu,adamw,1,18
stem_bn,0.9507955312728882,0.141169473528862,relu,adamw,1,24
stages.0.bn1,0.9883643388748169,0.1279795914888382,relu,adamw,1,24
stages.0.bn2,1.0211141109466553,0.10766719281673431,relu,adamw,1,24
stages.1.bn1,0.9685795307159424,0.21579807996749878,relu,adamw,1,24
stages.1.bn2,0.9927954077720642,0.12394167482852936,relu,adamw,1,24
stages.2.bn1,0.9829713106155396,0.16302049160003662,relu,adamw,1,24
stages.2.bn2,1.001198172569275,0.16173022985458374,relu,adamw,1,24
stages.2.shortcut.1,0.9710853695869446,0.16173022985458374,relu,adamw,1,24
stages.3.bn1,0.9714380502700806,0.24409259855747223,relu,adamw,1,24
stages.3.bn2,0.9758778810501099,0.1983238309621811,relu,adamw,1,24
stages.4.bn1,0.9795819520950317,0.2340739518404007,relu,adamw,1,24
stages.4.bn2,1.046313762664795,0.21136914193630219,relu,adamw,1,24
stages.4.shortcut.1,0.9304536581039429,0.21136914193630219,relu,adamw,1,24
stages.5.bn1,0.9516129493713379,0.28837305307388306,relu,adamw,1,24
stages.5.bn2,0.960631251335144,0.2110329568386078,relu,adamw,1,24
stages.6.bn1,0.978096604347229,0.21189944446086884,relu,adamw,1,24
stages.6.bn2,1.0252363681793213,0.09221714735031128,relu,adamw,1,24
stages.6.shortcut.1,0.9719051122665405,0.09221714735031128,relu,adamw,1,24
stages.7.bn1,0.9732084274291992,0.12080927193164825,relu,adamw,1,24
stages.7.bn2,0.9501191973686218,0.07865869998931885,relu,adamw,1,24
stem_bn,1.001315951347351,0.036724939942359924,relu,adamw,2,0
stages.0.bn1,1.0008463859558105,0.02385774254798889,relu,adamw,2,0
stages.0.bn2,1.0008888244628906,0.01783866435289383,relu,adamw,2,0
stages.1.bn1,1.0010263919830322,0.021584313362836838,relu,adamw,2,0
stages.1.bn2,0.9905352592468262,0.018106428906321526,relu,adamw,2,0
stages.2.bn1,0.9999558925628662,0.016687925904989243,relu,adamw,2,0
stages.2.bn2,0.9966922402381897,0.013502182438969612,relu,adamw,2,0
stages.2.shortcut.1,1.0143181085586548,0.013502182438969612,relu,adamw,2,0
stages.3.bn1,0.9995261430740356,0.014504998922348022,relu,adamw,2,0
stages.3.bn2,0.984188973903656,0.015132540836930275,relu,adamw,2,0
stages.4.bn1,1.0005555152893066,0.01280437782406807,relu,adamw,2,0
stages.4.bn2,1.002030372619629,0.011841697618365288,relu,adamw,2,0
stages.4.shortcut.1,1.0175135135650635,0.011841697618365288,relu,adamw,2,0
stages.5.bn1,0.9997188448905945,0.013523097150027752,relu,adamw,2,0
stages.5.bn2,0.979539692401886,0.016893858090043068,relu,adamw,2,0
stages.6.bn1,1.0007425546646118,0.012045430019497871,relu,adamw,2,0
stages.6.bn2,0.9877077341079712,0.013100812211632729,relu,adamw,2,0
stages.6.shortcut.1,0.9970566630363464,0.013100812211632729,relu,adamw,2,0
stages.7.bn1,0.9998233318328857,0.013761939480900764,relu,adamw,2,0
stages.7.bn2,0.9858885407447815,0.01408395916223526,relu,adamw,2,0
stem_bn,0.9692951440811157,0.11575391888618469,relu,adamw,2,6
stages.0.bn1,0.9980816841125488,0.08878366649150848,relu,adamw,2,6
stages.0.bn2,1.0120652914047241,0.07590442895889282,relu,adamw,2,6
stages.1.bn1,0.9883860349655151,0.14718365669250488,relu,adamw,2,6
stages.1.bn2,0.9950751066207886,0.10246990621089935,relu,adamw,2,6
stages.2.bn1,0.9919826984405518,0.1085318997502327,relu,adamw,2,6
stages.2.bn2,1.0047929286956787,0.10444296896457672,relu,adamw,2,6
stages.2.shortcut.1,1.004800796508789,0.10444296896457672,relu,adamw,2,6
stages.3.bn1,0.9876431226730347,0.15856456756591797,relu,adamw,2,6
stages.3.bn2,0.962105393409729,0.13755367696285248,relu,adamw,2,6
stages.4.bn1,0.9932863116264343,0.1319999396800995,relu,adamw,2,6
stages.4.bn2,1.0301587581634521,0.10973259806632996,relu,adamw,2,6
stages.4.shortcut.1,1.0060237646102905,0.10973259806632996,relu,adamw,2,6
stages.5.bn1,0.9933875799179077,0.15410825610160828,relu,adamw,2,6
stages.5.bn2,0.9432353973388672,0.1451948881149292,relu,adamw,2,6
stages.6.bn1,0.9896033406257629,0.12509308755397797,relu,adamw,2,6
