arch,activation,dataset,seed,epoch,train_acc,test_loss,test_acc,lr,epoch_time,mean_active_frac,min_active_frac,mean_effective_rank,mean_stable_rank,n_layers_measured,n_layers_total,grad_norm
resnet18,gelu,cifar10,0,17,0.9221955128205128,0.3129833588600159,0.8943,0.018128800512565515,18.269184827804565,0.9929681385264677,0.981626033782959,56.464936649098114,8.945793390274048,17,17,2.9241748012741393
resnet18,gelu,cifar10,0,18,0.9327123397435897,0.2978775529384613,0.9027,0.013551568628929436,18.357118129730225,0.9930540077826556,0.9816398620605469,56.49666999368107,8.908782762639662,17,17,3.437034092469046
resnet18,gelu,cifar10,0,19,0.9430689102564103,0.2623625675201416,0.9125,0.009549150281252635,18.20262336730957,0.9931331557386062,0.9820384979248047,56.524121677174286,8.908344170626473,17,17,3.297393455082926
resnet18,gelu,cifar10,0,20,0.9520032051282051,0.25451735410690307,0.9166,0.006184665997806822,18.348828554153442,0.9931761131567114,0.9816746711730957,56.587536082548255,9.076843682457419,17,17,3.7828325179841795
resnet18,gelu,cifar10,0,21,0.9603165064102565,0.24373443155288696,0.9198,0.003511175705587433,18.374722480773926,0.993207177695106,0.981658935546875,56.66133274751551,8.941601781284108,17,17,4.2563558223451725
resnet18,gelu,cifar10,0,22,0.967948717948718,0.2263466476917267,0.9276,0.001570841943568452,18.131337642669678,0.9933018929818097,0.9821405410766602,56.769557504092944,8.499538085039925,17,17,4.47766981149776
resnet18,gelu,cifar10,0,23,0.9728165064102564,0.2224187298774719,0.9275,0.00039426493427611184,18.107093811035156,0.9932971526594723,0.9820723533630371,56.60979035321404,9.281519427019006,17,17,4.682180249107409
resnet18,gelu,cifar10,0,24,0.9760016025641025,0.22228188314437866,0.9276,0.0,18.118394374847412,0.9932896214372972,0.9820852279663086,56.74621783985811,8.792350488550523,17,17,4.665890765794959
resnet18,gelu,cifar10,1,0,0.3604366987179487,1.44735645236969,0.4698,0.0996057350657239,18.09570574760437,0.9823510927312514,0.9683938026428223,49.680666979621435,3.5407788963878857,17,17,1.191357303156486
resnet18,gelu,cifar10,1,1,0.5357572115384616,1.1689905029296874,0.5793,0.09842915805643156,18.074158906936646,0.9844941672156838,0.9784994125366211,53.12990076401655,4.032418075729819,17,17,1.483104872485905
resnet18,gelu,cifar10,1,2,0.6445713141025641,0.9131895301818848,0.6855,0.09648882429441258,18.077149391174316,0.9863065831801471,0.9813213348388672,54.90767131132238,4.781958103179932,17,17,1.796485975566902
resnet18,gelu,cifar10,1,3,0.7083533653846154,0.7478492921829224,0.7331,0.09381533400219319,18.095197200775146,0.9879653453826904,0.9811763763427734,55.78493656831629,5.567188290988698,17,17,1.4435780944536276
