activation,seed,ratio,method,baseline_acc,pruned_acc,acc_drop
mish,1,0.3,random,0.9186,0.3747,0.5439
mish,1,0.5,gate_density,0.9186,0.103,0.8156
mish,1,0.5,magnitude,0.9186,0.5668,0.3518
mish,1,0.5,random,0.9186,0.1635,0.7551
mish,1,0.7,gate_density,0.9186,0.1003,0.8183
mish,1,0.7,magnitude,0.9186,0.1978,0.7208
mish,1,0.7,random,0.9186,0.1876,0.731
mish,2,0.1,gate_density,0.918,0.1358,0.7822
mish,2,0.1,magnitude,0.918,0.9088,0.009199999999999986
mish,2,0.1,random,0.918,0.8523,0.06570000000000009
mish,2,0.3,gate_density,0.918,0.1712,0.7468
mish,2,0.3,magnitude,0.918,0.8536,0.06440000000000001
mish,2,0.3,random,0.918,0.3033,0.6147
mish,2,0.5,gate_density,0.918,0.1406,0.7774000000000001
mish,2,0.5,magnitude,0.918,0.6631,0.2549
mish,2,0.5,random,0.918,0.1904,0.7276
mish,2,0.7,gate_density,0.918,0.1235,0.7945
mish,2,0.7,magnitude,0.918,0.32,0.5980000000000001
mish,2,0.7,random,0.918,0.1035,0.8145
