arch,activation,dataset,seed,epoch,test_loss,test_acc,epoch_time,active_frac_t0.001,active_frac_t0.005,active_frac_t0.01,active_frac_t0.05,active_frac_t0.1,gate_mean,gate_median,gate_std,n_gate_values,gate_q1,gate_q5,gate_q25,gate_q50,gate_q75,gate_q95,gate_q99
resnet18,relu,cifar10,0,10,0.6189128784179687,0.7963,15.266019105911255,0.39114470588235295,0.39114470588235295,0.39114470588235295,0.39114470588235295,0.39114470588235295,0.39114469289779663,0.0,0.4880066215991974,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
resnet18,relu,cifar10,0,11,0.5644297525405884,0.8113,15.36367130279541,0.38377058823529414,0.38377058823529414,0.38377058823529414,0.38377058823529414,0.38377058823529414,0.38377058506011963,0.0,0.4863031506538391,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
resnet18,relu,cifar10,0,12,0.47045328249931334,0.8413,18.13908052444458,0.37973882352941174,0.37973882352941174,0.37973882352941174,0.37973882352941174,0.37973882352941174,0.37973883748054504,0.0,0.4853217899799347,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
resnet18,relu,cifar10,0,13,0.44835688009262087,0.8511,16.493716955184937,0.38080823529411767,0.38080823529411767,0.38080823529411767,0.38080823529411767,0.38080823529411767,0.3808082342147827,0.0,0.48558560013771057,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
resnet18,relu,cifar10,0,14,0.48762092199325563,0.8344,16.15041971206665,0.37654,0.37654,0.37654,0.37654,0.37654,0.37654000520706177,0.0,0.4845179319381714,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
resnet18,relu,cifar10,0,15,0.3790682656288147,0.8766,17.995039463043213,0.3742082352941176,0.3742082352941176,0.3742082352941176,0.3742082352941176,0.3742082352941176,0.3742082417011261,0.0,0.48391780257225037,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
resnet18,relu,cifar10,0,16,0.3528353913784027,0.8809,16.624115228652954,0.3745835294117647,0.3745835294117647,0.3745835294117647,0.3745835294117647,0.3745835294117647,0.37458354234695435,0.0,0.48401519656181335,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
resnet18,relu,cifar10,0,17,0.3563206720352173,0.8858,17.568033695220947,0.37147294117647056,0.37147294117647056,0.37147294117647056,0.37147294117647056,0.37147294117647056,0.37147295475006104,0.0,0.48319849371910095,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
resnet18,relu,cifar10,0,18,0.3339408093929291,0.8938,17.770244121551514,0.3717105882352941,0.3717105882352941,0.3717105882352941,0.3717105882352941,0.3717105882352941,0.3717105984687805,0.0,0.48326170444488525,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
resnet18,relu,cifar10,0,19,0.3145102746963501,0.9003,17.24692153930664,0.3685564705882353,0.3685564705882353,0.3685564705882353,0.3685564705882353,0.3685564705882353,0.3685564696788788,0.0,0.4824133515357971,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
resnet18,relu,cifar10,0,20,0.27085089807510376,0.9134,15.36652660369873,0.36916823529411763,0.36916823529411763,0.36916823529411763,0.36916823529411763,0.36916823529411763,0.369168221950531,0.0,0.4825795292854309,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
resnet18,relu,cifar10,0,21,0.26968653240203855,0.9162,15.22228741645813,0.3689094117647059,0.3689094117647059,0.3689094117647059,0.3689094117647059,0.3689094117647059,0.36890941858291626,0.0,0.4825093746185303,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
