layer,mean_abs_gamma,mean_abs_beta,activation,seed,epoch
stages.0.bn1,0.28893107175827026,0.09991611540317535,relu,2,18
stages.0.bn2,0.288973867893219,0.09604329615831375,relu,2,18
stages.1.bn1,0.1752430498600006,0.12143965065479279,relu,2,18
stages.1.bn2,0.12373208999633789,0.06149093434214592,relu,2,18
stages.2.bn1,0.16181409358978271,0.04431403428316116,relu,2,18
stages.2.bn2,0.17456485331058502,0.04107346013188362,relu,2,18
stages.2.shortcut.1,0.20514321327209473,0.04107346013188362,relu,2,18
stages.3.bn1,0.16542577743530273,0.11494014412164688,relu,2,18
stages.3.bn2,0.14427036046981812,0.0659162849187851,relu,2,18
stages.4.bn1,0.1652822643518448,0.0778951495885849,relu,2,18
stages.4.bn2,0.18911704421043396,0.08106084167957306,relu,2,18
stages.4.shortcut.1,0.12368571758270264,0.08106084167957306,relu,2,18
stages.5.bn1,0.17765218019485474,0.14562606811523438,relu,2,18
stages.5.bn2,0.159021258354187,0.09141078591346741,relu,2,18
stages.6.bn1,0.1161579117178917,0.06088634580373764,relu,2,18
stages.6.bn2,0.18124738335609436,0.037827663123607635,relu,2,18
stages.6.shortcut.1,0.11724458634853363,0.037827663123607635,relu,2,18
stages.7.bn1,0.10385751724243164,0.03581303730607033,relu,2,18
stages.7.bn2,0.22090137004852295,0.032230764627456665,relu,2,18
stem_bn,0.21182815730571747,0.10313895344734192,relu,2,24
stages.0.bn1,0.2777293920516968,0.09209288656711578,relu,2,24
stages.0.bn2,0.2740752696990967,0.0923004299402237,relu,2,24
stages.1.bn1,0.16572177410125732,0.11742396652698517,relu,2,24
stages.1.bn2,0.12147951126098633,0.05848615616559982,relu,2,24
stages.2.bn1,0.1541493535041809,0.043697115033864975,relu,2,24
stages.2.bn2,0.17037373781204224,0.038370467722415924,relu,2,24
stages.2.shortcut.1,0.18864992260932922,0.038370467722415924,relu,2,24
stages.3.bn1,0.15881086885929108,0.11223356425762177,relu,2,24
stages.3.bn2,0.14328554272651672,0.06322133541107178,relu,2,24
stages.4.bn1,0.15845027565956116,0.07562710344791412,relu,2,24
stages.4.bn2,0.1789197027683258,0.08090519160032272,relu,2,24
stages.4.shortcut.1,0.10748130083084106,0.08090519160032272,relu,2,24
stages.5.bn1,0.16767461597919464,0.14482609927654266,relu,2,24
stages.5.bn2,0.15992477536201477,0.08975410461425781,relu,2,24
stages.6.bn1,0.1095551997423172,0.060719117522239685,relu,2,24
stages.6.bn2,0.17933602631092072,0.03383631631731987,relu,2,24
stages.6.shortcut.1,0.11134212464094162,0.03383631631731987,relu,2,24
stages.7.bn1,0.09821996092796326,0.03450743854045868,relu,2,24
stages.7.bn2,0.2294861227273941,0.0404222197830677,relu,2,24
stem_bn,0.8785220384597778,0.10244092345237732,gelu,0,0
stages.0.bn1,0.836813747882843,0.04736024886369705,gelu,0,0
stages.0.bn2,0.8254234194755554,0.042111918330192566,gelu,0,0
stages.1.bn1,0.8282572031021118,0.02691185474395752,gelu,0,0
stages.1.bn2,0.8123699426651001,0.023238666355609894,gelu,0,0
stages.2.bn1,0.8271195888519287,0.011211594566702843,gelu,0,0
stages.2.bn2,0.8290796279907227,0.01704319566488266,gelu,0,0
stages.2.shortcut.1,0.8360123634338379,0.01704319566488266,gelu,0,0
stages.3.bn1,0.8248865008354187,0.007859867066144943,gelu,0,0
stages.3.bn2,0.8151910305023193,0.010792363435029984,gelu,0,0
stages.4.bn1,0.8256264925003052,0.007047289051115513,gelu,0,0
stages.4.bn2,0.8247702121734619,0.012943346984684467,gelu,0,0
stages.4.shortcut.1,0.8330334424972534,0.012943346984684467,gelu,0,0
stages.5.bn1,0.8249428272247314,0.005359879694879055,gelu,0,0
stages.5.bn2,0.8213154673576355,0.007803380489349365,gelu,0,0
stages.6.bn1,0.8252516388893127,0.003607624676078558,gelu,0,0
stages.6.bn2,0.812464714050293,0.03516501933336258,gelu,0,0
stages.6.shortcut.1,0.8105275630950928,0.03516501933336258,gelu,0,0
stages.7.bn1,0.8251681327819824,0.005537141114473343,gelu,0,0
stages.7.bn2,0.7909798622131348,0.06895916908979416,gelu,0,0
stem_bn,0.44971710443496704,0.19500115513801575,gelu,0,6
stages.0.bn1,0.49792617559432983,0.2250574380159378,gelu,0,6
stages.0.bn2,0.5637940168380737,0.12669122219085693,gelu,0,6
stages.1.bn1,0.42389732599258423,0.14688628911972046,gelu,0,6
stages.1.bn2,0.3560768961906433,0.0817844346165657,gelu,0,6
stages.2.bn1,0.37237149477005005,0.06182318925857544,gelu,0,6
stages.2.bn2,0.40931642055511475,0.06770741194486618,gelu,0,6
stages.2.shortcut.1,0.34126734733581543,0.06770741194486618,gelu,0,6
stages.3.bn1,0.33652210235595703,0.07791513204574585,gelu,0,6
stages.3.bn2,0.24347496032714844,0.0699571892619133,gelu,0,6
stages.4.bn1,0.3380900025367737,0.0463743731379509,gelu,0,6
stages.4.bn2,0.3699952960014343,0.047721512615680695,gelu,0,6
stages.4.shortcut.1,0.2963372468948364,0.047721512615680695,gelu,0,6
stages.5.bn1,0.307157039642334,0.030112408101558685,gelu,0,6
stages.5.bn2,0.23910576105117798,0.048870719969272614,gelu,0,6
stages.6.bn1,0.29752498865127563,0.014906303957104683,gelu,0,6
stages.6.bn2,0.31406912207603455,0.03954920917749405,gelu,0,6
stages.6.shortcut.1,0.3066827654838562,0.03954920917749405,gelu,0,6
stages.7.bn1,0.29099100828170776,0.017878081649541855,gelu,0,6
stages.7.bn2,0.2712398171424866,0.07022224366664886,gelu,0,6
stem_bn,0.3552093505859375,0.16636767983436584,gelu,0,12
stages.0.bn1,0.41865274310112,0.21101756393909454,gelu,0,12
stages.0.bn2,0.5213539600372314,0.11918085813522339,gelu,0,12
stages.1.bn1,0.35494935512542725,0.19005842506885529,gelu,0,12
stages.1.bn2,0.3200850188732147,0.09732677042484283,gelu,0,12
stages.2.bn1,0.3080584406852722,0.08606505393981934,gelu,0,12
stages.2.bn2,0.38855302333831787,0.0902511328458786,gelu,0,12
stages.2.shortcut.1,0.2602366805076599,0.0902511328458786,gelu,0,12
stages.3.bn1,0.245336651802063,0.11202844232320786,gelu,0,12
stages.3.bn2,0.1912969946861267,0.10331210494041443,gelu,0,12
stages.4.bn1,0.2776091694831848,0.06654950976371765,gelu,0,12
stages.4.bn2,0.33567333221435547,0.08763830363750458,gelu,0,12
stages.4.shortcut.1,0.19160449504852295,0.08763830363750458,gelu,0,12
stages.5.bn1,0.20092234015464783,0.0438234806060791,gelu,0,12
stages.5.bn2,0.17117130756378174,0.09616948664188385,gelu,0,12
stages.6.bn1,0.18613556027412415,0.019299449399113655,gelu,0,12
stages.6.bn2,0.26472216844558716,0.022467054426670074,gelu,0,12
stages.6.shortcut.1,0.22116702795028687,0.022467054426670074,gelu,0,12
stages.7.bn1,0.16090886294841766,0.017569649964571,gelu,0,12
stages.7.bn2,0.22180935740470886,0.023686710745096207,gelu,0,12
stem_bn,0.31450578570365906,0.14737644791603088,gelu,0,18
stages.0.bn1,0.38320034742355347,0.20261088013648987,gelu,0,18
