arch,activation,optimizer,dataset,seed,epoch,train_acc,test_loss,test_acc,lr,epoch_time,mean_active_frac,mean_effective_rank
resnet50,relu,sgd,places365_subset,0,17,0.35350190281030447,2.9898651206656677,0.29506849315068495,0.018128800512565515,179.40514516830444,0.4689312102843304,53.02674881292849
resnet50,relu,sgd,places365_subset,0,18,0.3801595433255269,2.922601970515839,0.31123287671232874,0.013551568628929436,179.49790501594543,0.4688774256073699,52.987765098104674
resnet50,relu,sgd,places365_subset,0,19,0.40302985948477754,2.888915338385595,0.31616438356164384,0.009549150281252635,179.39741587638855,0.4686561102161602,53.174345600361725
resnet50,relu,sgd,places365_subset,0,20,0.43105971896955503,2.811274117247699,0.3256164383561644,0.006184665997806822,179.47862195968628,0.4698479522247704,53.273419205023316
resnet50,relu,sgd,places365_subset,0,21,0.4558145491803279,2.751424075610017,0.34178082191780823,0.003511175705587433,193.0084252357483,0.46986594279201666,53.33978263699279
resnet50,relu,sgd,places365_subset,0,22,0.4852532201405152,2.6949981438623714,0.35205479452054794,0.001570841943568452,189.62854194641113,0.4705635774500516,53.4304590809102
resnet50,relu,sgd,places365_subset,0,23,0.5051046545667447,2.669728489705961,0.3558904109589041,0.00039426493427611184,179.86984086036682,0.4707225983848377,53.50804683140346
resnet50,relu,sgd,places365_subset,0,24,0.5190829918032787,2.6438369165707942,0.3610958904109589,0.0,180.57265281677246,0.47097943479917487,53.47449392201949
resnet50,relu,sgd,places365_subset,1,0,0.004025175644028103,5.764719112866546,0.006712328767123288,0.0996057350657239,179.32645511627197,0.5470842392164834,27.943009142972986
resnet50,relu,sgd,places365_subset,1,1,0.010465456674473067,5.455177645748608,0.0136986301369863,0.09842915805643156,179.4926106929779,0.5342695211269417,32.92652754880944
resnet50,relu,sgd,places365_subset,1,2,0.017033811475409836,5.282104592519263,0.022054794520547944,0.09648882429441258,179.3694953918457,0.5318587653490962,40.400770654483715
resnet50,relu,sgd,places365_subset,1,3,0.029877781030444965,5.050416201238763,0.03410958904109589,0.09381533400219319,179.521719455719,0.5341534194897632,43.30692688299685
resnet50,relu,sgd,places365_subset,1,4,0.049784104215456676,4.737001359495398,0.06328767123287671,0.0904508497187474,179.3760552406311,0.5308187901973724,46.639305620777364
resnet50,relu,sgd,places365_subset,1,5,0.07763100117096018,4.424125550152504,0.0884931506849315,0.0864484313710706,179.47685146331787,0.5269125219510526,48.59784511644013
resnet50,relu,sgd,places365_subset,1,6,0.10641100702576112,4.157055296179366,0.11684931506849315,0.0818711994874345,179.35800766944885,0.5188263575641476,50.34248017291633
resnet50,relu,sgd,places365_subset,1,7,0.13372731264637003,4.005822532340272,0.13246575342465752,0.07679133974894983,179.32972693443298,0.5104600872312274,51.058664516526825
resnet50,relu,sgd,places365_subset,1,8,0.15767710772833723,3.9360208422517124,0.1404109589041096,0.07128896457825364,179.34708428382874,0.502609693274206,50.53726741245815
resnet50,relu,sgd,places365_subset,1,9,0.17787617096018735,3.827713982569028,0.16219178082191782,0.06545084971874737,179.47000575065613,0.4979821863223095,51.668474625568
resnet50,relu,sgd,places365_subset,1,10,0.19842286299765807,3.656128632009846,0.18164383561643835,0.05936906572928624,179.44504070281982,0.49369506933251206,51.813377068967235
resnet50,relu,sgd,places365_subset,1,11,0.21677400468384075,3.6437686199031463,0.1847945205479452,0.05313952597646568,179.43205332756042,0.48999350472372405,52.21572782555405
resnet50,relu,sgd,places365_subset,1,12,0.23613144028103045,3.517617413246468,0.2073972602739726,0.04686047402353434,179.3493468761444,0.4883856812910158,52.507768436354034
