arch,seed,layer_idx,n_layers,layer_name,active_frac,gate_mean,grad_norm,grad_sparsity,grad_entropy,effective_rank,stable_rank
resnet18,2,6,9,layer3.1.relu,0.49871826171875,0.49871826171875,0.19125498831272125,0.0467529296875,10.095718383789062,7.149170875549316,1.7562366724014282
resnet18,2,7,9,layer4.0.relu,0.50323486328125,0.50323486328125,0.1525375097990036,0.03668212890625,9.413938522338867,7.489079475402832,2.1794228553771973
resnet18,2,8,9,layer4.1.relu,0.49749755859375,0.49749755859375,0.1240990161895752,0.0345458984375,9.416532516479492,7.142674446105957,1.7463757991790771
resnet18,3,0,9,relu,0.99385005235672,0.99385005235672,0.7020821571350098,0.8535022735595703,,7.5903801918029785,2.412177801132202
resnet18,3,1,9,layer1.0.relu,0.4986724853515625,0.4986724853515625,0.6156325936317444,0.06549835205078125,11.43887710571289,6.3413543701171875,1.3358322381973267
resnet18,3,2,9,layer1.1.relu,0.49953460693359375,0.49953460693359375,0.4181709885597229,0.07668304443359375,11.439931869506836,6.566361904144287,1.41238534450531
resnet18,3,3,9,layer2.0.relu,0.50286865234375,0.50286865234375,0.37828153371810913,0.0494842529296875,10.766550064086914,7.41696834564209,2.0719058513641357
resnet18,3,4,9,layer2.1.relu,0.4989166259765625,0.4989166259765625,0.28769126534461975,0.0552215576171875,10.7645845413208,7.266193389892578,1.8672281503677368
resnet18,3,5,9,layer3.0.relu,0.502197265625,0.502197265625,0.2285977303981781,0.043487548828125,10.089250564575195,7.393059730529785,2.0491902828216553
resnet18,3,6,9,layer3.1.relu,0.5013427734375,0.5013427734375,0.17949645221233368,0.0408935546875,10.090463638305664,7.149548530578613,1.7641433477401733
resnet18,3,7,9,layer4.0.relu,0.4949951171875,0.4949951171875,0.14789611101150513,0.0313720703125,9.418906211853027,7.395247936248779,2.0499773025512695
resnet18,3,8,9,layer4.1.relu,0.49554443359375,0.49554443359375,0.12194602936506271,0.03350830078125,9.420953750610352,7.147790908813477,1.7666839361190796
resnet18,4,0,9,relu,0.9940369129180908,0.9940369129180908,0.7438773512840271,0.8542270660400391,,7.60189151763916,2.442570209503174
resnet18,4,1,9,layer1.0.relu,0.499603271484375,0.499603271484375,0.644180953502655,0.0633697509765625,11.433295249938965,6.296950340270996,1.3243035078048706
resnet18,4,2,9,layer1.1.relu,0.5002059936523438,0.5002059936523438,0.4345178008079529,0.06056976318359375,11.434402465820312,6.612137794494629,1.4296817779541016
resnet18,4,3,9,layer2.0.relu,0.4983978271484375,0.4983978271484375,0.3951183259487152,0.047882080078125,10.766682624816895,7.443721771240234,2.10831356048584
resnet18,4,4,9,layer2.1.relu,0.4993896484375,0.4993896484375,0.3005911111831665,0.0586395263671875,10.766825675964355,7.1929192543029785,1.7933803796768188
resnet18,4,5,9,layer3.0.relu,0.501861572265625,0.501861572265625,0.24378837645053864,0.044342041015625,10.099433898925781,7.480913162231445,2.17069149017334
resnet18,4,6,9,layer3.1.relu,0.5030517578125,0.5030517578125,0.19133412837982178,0.042999267578125,10.094425201416016,7.115975856781006,1.7210376262664795
resnet18,4,7,9,layer4.0.relu,0.4996337890625,0.4996337890625,0.15411153435707092,0.033935546875,9.415916442871094,7.43888521194458,2.1143248081207275
resnet18,4,8,9,layer4.1.relu,0.50079345703125,0.50079345703125,0.12423671036958694,0.03436279296875,9.420791625976562,7.18007755279541,1.783864974975586
resnet18,5,0,9,relu,0.9945163130760193,0.9945163130760193,0.6969994902610779,0.8512401580810547,,7.6121134757995605,2.4748494625091553
resnet18,5,1,9,layer1.0.relu,0.5040512084960938,0.5040512084960938,0.598136842250824,0.062164306640625,11.44491195678711,6.312744617462158,1.3301019668579102
resnet18,5,2,9,layer1.1.relu,0.4967803955078125,0.4967803955078125,0.4095137417316437,0.05489349365234375,11.44235897064209,6.567727088928223,1.4105474948883057
resnet18,5,3,9,layer2.0.relu,0.5017852783203125,0.5017852783203125,0.3751482665538788,0.0453643798828125,10.769851684570312,7.4367499351501465,2.1167616844177246
resnet18,5,4,9,layer2.1.relu,0.500030517578125,0.500030517578125,0.28285953402519226,0.0443572998046875,10.769433975219727,7.242370128631592,1.8436863422393799
resnet18,5,5,9,layer3.0.relu,0.501495361328125,0.501495361328125,0.23293127119541168,0.040130615234375,10.095406532287598,7.4005656242370605,2.0590732097625732
resnet18,5,6,9,layer3.1.relu,0.500274658203125,0.500274658203125,0.18721383810043335,0.040740966796875,10.09501838684082,7.187150478363037,1.790619969367981
resnet18,5,7,9,layer4.0.relu,0.50311279296875,0.50311279296875,0.1474076509475708,0.0360107421875,9.417770385742188,7.443597316741943,2.1039326190948486
resnet18,5,8,9,layer4.1.relu,0.49896240234375,0.49896240234375,0.11905670911073685,0.03369140625,9.421880722045898,7.184146881103516,1.7850513458251953
resnet18,6,0,9,relu,0.9936711192131042,0.9936711192131042,0.7489383816719055,0.8513660430908203,,7.602547645568848,2.427572011947632
resnet18,6,1,9,layer1.0.relu,0.5022354125976562,0.5022354125976562,0.668518602848053,0.06381988525390625,11.435091018676758,6.296467304229736,1.3238625526428223
resnet18,6,2,9,layer1.1.relu,0.49868011474609375,0.49868011474609375,0.4409557580947876,0.062255859375,11.436395645141602,6.5209527015686035,1.3945834636688232
