Job ID: 11081162  Node: gilbreth-i003  Start: Sun Jun 21 14:50:18 EDT 2026
extraction_done.marker present, skipping extraction
Extraction step complete at Sun Jun 21 14:50:18 EDT 2026
[cache] train: 5000 images, 66.8s elapsed
[cache] train: 10000 images, 143.4s elapsed
[cache] train: 15000 images, 218.6s elapsed
[cache] train: 20000 images, 303.0s elapsed
[cache] train: 25000 images, 391.0s elapsed
[cache] train: 30000 images, 467.8s elapsed
[cache] train: 35000 images, 572.2s elapsed
[cache] train: 40000 images, 668.9s elapsed
[cache] train: 45000 images, 756.4s elapsed
[cache] train: 50000 images, 864.7s elapsed
[cache] train: done, 54750 images, shape torch.Size([54750, 3, 144, 144]), 3.41GB, 968.5s total
[cache] wrote /scratch/gilbreth/aelmersa/places365/cache/train_cache.pt
[cache] val: 5000 images, 94.9s elapsed
[cache] val: done, 7300 images, shape torch.Size([7300, 3, 144, 144]), 0.45GB, 143.7s total
[cache] wrote /scratch/gilbreth/aelmersa/places365/cache/val_cache.pt
Cache step complete at Sun Jun 21 15:11:35 EDT 2026
[places-dyn] device=cuda activations=['relu', 'gelu', 'silu', 'mish'] optimizer=sgd lr=0.1 seeds=[0, 1] epochs=25 samples_per_class_train=150 img_size=96 cache_dir=/scratch/gilbreth/aelmersa/places365/cache
[places-dyn] resnet50(gelu,sgd) seed=0 epoch=  0/25 train_acc=0.006 test_acc=0.010 active_frac=0.988 eff_rank=28.28 (180.9s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch=  1/25 train_acc=0.012 test_acc=0.011 active_frac=0.991 eff_rank=32.67 (180.4s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch=  2/25 train_acc=0.022 test_acc=0.031 active_frac=0.994 eff_rank=37.08 (180.4s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch=  3/25 train_acc=0.035 test_acc=0.036 active_frac=0.996 eff_rank=39.48 (180.3s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch=  4/25 train_acc=0.056 test_acc=0.062 active_frac=0.997 eff_rank=42.11 (180.4s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch=  5/25 train_acc=0.077 test_acc=0.072 active_frac=0.998 eff_rank=44.81 (180.4s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch=  6/25 train_acc=0.098 test_acc=0.109 active_frac=0.998 eff_rank=45.85 (180.5s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch=  7/25 train_acc=0.119 test_acc=0.117 active_frac=0.999 eff_rank=48.41 (180.4s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch=  8/25 train_acc=0.143 test_acc=0.141 active_frac=0.999 eff_rank=48.95 (180.5s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch=  9/25 train_acc=0.161 test_acc=0.138 active_frac=0.999 eff_rank=49.86 (180.4s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch= 10/25 train_acc=0.178 test_acc=0.170 active_frac=0.999 eff_rank=51.28 (180.5s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch= 11/25 train_acc=0.195 test_acc=0.163 active_frac=0.999 eff_rank=50.54 (180.4s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch= 12/25 train_acc=0.210 test_acc=0.175 active_frac=0.999 eff_rank=51.28 (180.4s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch= 13/25 train_acc=0.227 test_acc=0.185 active_frac=0.999 eff_rank=51.52 (180.4s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch= 14/25 train_acc=0.240 test_acc=0.205 active_frac=0.999 eff_rank=52.32 (192.5s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch= 15/25 train_acc=0.254 test_acc=0.222 active_frac=0.999 eff_rank=52.39 (180.7s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch= 16/25 train_acc=0.269 test_acc=0.235 active_frac=0.999 eff_rank=52.33 (180.6s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch= 17/25 train_acc=0.282 test_acc=0.238 active_frac=0.999 eff_rank=52.51 (180.5s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch= 18/25 train_acc=0.299 test_acc=0.252 active_frac=0.999 eff_rank=52.66 (180.8s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch= 19/25 train_acc=0.312 test_acc=0.272 active_frac=0.999 eff_rank=52.77 (180.5s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch= 20/25 train_acc=0.327 test_acc=0.281 active_frac=0.999 eff_rank=52.68 (180.5s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch= 21/25 train_acc=0.343 test_acc=0.285 active_frac=0.999 eff_rank=52.98 (188.0s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch= 22/25 train_acc=0.357 test_acc=0.300 active_frac=0.999 eff_rank=52.92 (180.4s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch= 23/25 train_acc=0.366 test_acc=0.303 active_frac=0.999 eff_rank=53.13 (180.5s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch= 24/25 train_acc=0.373 test_acc=0.307 active_frac=0.999 eff_rank=53.17 (180.6s)
[places-dyn] gelu seed=0 done in 75.6 min
[places-dyn] resnet50(gelu,sgd) seed=1 epoch=  0/25 train_acc=0.005 test_acc=0.011 active_frac=0.988 eff_rank=35.00 (180.5s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch=  1/25 train_acc=0.018 test_acc=0.023 active_frac=0.992 eff_rank=39.41 (180.6s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch=  2/25 train_acc=0.035 test_acc=0.038 active_frac=0.993 eff_rank=44.74 (180.5s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch=  3/25 train_acc=0.057 test_acc=0.070 active_frac=0.995 eff_rank=49.40 (180.6s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch=  4/25 train_acc=0.085 test_acc=0.090 active_frac=0.996 eff_rank=51.58 (180.5s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch=  5/25 train_acc=0.112 test_acc=0.112 active_frac=0.997 eff_rank=53.05 (180.5s)
[places-dyn] resnet50(gelu,sgd) seed=1 epoch=  6/25 train_acc=0.139 test_acc=0.139 active_frac=0.998 eff_rank=53.99 (180.5s)
