========================================
Job ID       : 11039609
Node         : gilbreth-k043
GPU          : NVIDIA A100 80GB PCIe, 81920 MiB
Start time   : Thu Jun 18 04:25:35 EDT 2026
========================================

Dataset check (already pre-downloaded to ./data on the login node,
shared over /home — compute nodes may not have outbound internet):
total 331459
drwxr-xr-x 4 aelmersa student         6 Jun 18 03:35 .
drwxr-xr-x 9 aelmersa student        17 Jun 18 04:25 ..
drwxr-xr-x 2 aelmersa student        10 Jun  4  2009 cifar-10-batches-py
-rw-r--r-- 1 aelmersa student 170498071 Jun 18 03:33 cifar-10-python.tar.gz
drwxr-xr-x 2 aelmersa student         6 Feb 19  2010 cifar-100-python
-rw-r--r-- 1 aelmersa student 169001437 Jun 18 03:35 cifar-100-python.tar.gz

========================================
Running training-dynamics sweep (Phase 4)
========================================
[train-dyn] device=cuda  archs=['resnet18', 'resnet50', 'vgg11', 'vit_b_16', 'convnext_tiny']  datasets=['cifar10', 'cifar100']  seeds=[0, 1, 2]  epochs=25
[train-dyn] resnet18/cifar10 seed=2 epoch= 14/25 test_acc=0.849 active_frac=0.386 eff_rank=54.70 (14.8s)
[train-dyn] resnet18/cifar10 seed=2 epoch= 15/25 test_acc=0.838 active_frac=0.387 eff_rank=54.66 (14.9s)
[train-dyn] resnet18/cifar10 seed=2 epoch= 16/25 test_acc=0.859 active_frac=0.385 eff_rank=54.49 (15.0s)
[train-dyn] resnet18/cifar10 seed=2 epoch= 17/25 test_acc=0.890 active_frac=0.381 eff_rank=54.81 (14.9s)
[train-dyn] resnet18/cifar10 seed=2 epoch= 18/25 test_acc=0.894 active_frac=0.380 eff_rank=54.82 (14.9s)
[train-dyn] resnet18/cifar10 seed=2 epoch= 19/25 test_acc=0.902 active_frac=0.378 eff_rank=54.97 (15.0s)
[train-dyn] resnet18/cifar10 seed=2 epoch= 20/25 test_acc=0.915 active_frac=0.378 eff_rank=54.94 (14.8s)
[train-dyn] resnet18/cifar10 seed=2 epoch= 21/25 test_acc=0.921 active_frac=0.379 eff_rank=54.86 (14.8s)
[train-dyn] resnet18/cifar10 seed=2 epoch= 22/25 test_acc=0.922 active_frac=0.378 eff_rank=55.07 (14.8s)
[train-dyn] resnet18/cifar10 seed=2 epoch= 23/25 test_acc=0.926 active_frac=0.378 eff_rank=55.05 (14.8s)
[train-dyn] resnet18/cifar10 seed=2 epoch= 24/25 test_acc=0.925 active_frac=0.378 eff_rank=54.94 (14.9s)
[train-dyn] resnet18/cifar10 seed=2 done in 6.2 min
[train-dyn] resnet50/cifar10 seed=0 epoch=  0/25 test_acc=0.264 active_frac=0.536 eff_rank=22.81 (21.0s)
[train-dyn] resnet50/cifar10 seed=0 epoch=  1/25 test_acc=0.334 active_frac=0.509 eff_rank=25.00 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch=  2/25 test_acc=0.402 active_frac=0.504 eff_rank=29.42 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch=  3/25 test_acc=0.491 active_frac=0.499 eff_rank=33.51 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch=  4/25 test_acc=0.538 active_frac=0.495 eff_rank=37.02 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch=  5/25 test_acc=0.631 active_frac=0.491 eff_rank=39.79 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch=  6/25 test_acc=0.638 active_frac=0.486 eff_rank=42.10 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch=  7/25 test_acc=0.708 active_frac=0.480 eff_rank=44.56 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch=  8/25 test_acc=0.738 active_frac=0.472 eff_rank=45.37 (19.6s)
[train-dyn] resnet50/cifar10 seed=0 epoch=  9/25 test_acc=0.726 active_frac=0.469 eff_rank=47.02 (19.6s)
