Job ID: 11044075  Node: gilbreth-k050  Start: Thu Jun 18 18:34:58 EDT 2026
[train-dyn] device=cuda  archs=['resnet18', 'vgg11']  datasets=['cifar10', 'cifar100']  seeds=[0, 1, 2]  epochs=25
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch= 22/25 train_acc=0.967 test_acc=0.921 active_frac=0.994 eff_rank=56.11 grad_norm=4.34 (18.2s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch= 23/25 train_acc=0.972 test_acc=0.922 active_frac=0.994 eff_rank=56.46 grad_norm=4.45 (18.3s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch= 24/25 train_acc=0.974 test_acc=0.924 active_frac=0.994 eff_rank=56.37 grad_norm=4.5 (18.3s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 done in 7.6 min
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch=  0/25 train_acc=0.328 test_acc=0.439 active_frac=0.993 eff_rank=43.81 grad_norm=0.938 (19.3s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch=  1/25 train_acc=0.494 test_acc=0.542 active_frac=0.993 eff_rank=50.44 grad_norm=1.63 (18.2s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch=  2/25 train_acc=0.631 test_acc=0.668 active_frac=0.994 eff_rank=53.74 grad_norm=1.55 (18.0s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch=  3/25 train_acc=0.710 test_acc=0.690 active_frac=0.995 eff_rank=55.50 grad_norm=1.65 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch=  4/25 train_acc=0.752 test_acc=0.757 active_frac=0.996 eff_rank=55.67 grad_norm=1.46 (18.2s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch=  5/25 train_acc=0.780 test_acc=0.763 active_frac=0.996 eff_rank=56.05 grad_norm=1.48 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch=  6/25 train_acc=0.795 test_acc=0.792 active_frac=0.997 eff_rank=55.88 grad_norm=1.51 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch=  7/25 train_acc=0.810 test_acc=0.794 active_frac=0.997 eff_rank=56.17 grad_norm=1.58 (18.2s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch=  8/25 train_acc=0.820 test_acc=0.822 active_frac=0.997 eff_rank=56.32 grad_norm=1.65 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch=  9/25 train_acc=0.832 test_acc=0.780 active_frac=0.997 eff_rank=56.41 grad_norm=1.97 (18.2s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch= 10/25 train_acc=0.840 test_acc=0.814 active_frac=0.997 eff_rank=56.28 grad_norm=1.88 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch= 11/25 train_acc=0.850 test_acc=0.843 active_frac=0.997 eff_rank=56.03 grad_norm=2.05 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch= 12/25 train_acc=0.860 test_acc=0.851 active_frac=0.997 eff_rank=56.10 grad_norm=2.16 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch= 13/25 train_acc=0.868 test_acc=0.851 active_frac=0.997 eff_rank=56.40 grad_norm=2.02 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch= 14/25 train_acc=0.875 test_acc=0.840 active_frac=0.997 eff_rank=56.12 grad_norm=1.96 (18.2s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch= 15/25 train_acc=0.884 test_acc=0.873 active_frac=0.997 eff_rank=56.29 grad_norm=2.87 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch= 16/25 train_acc=0.893 test_acc=0.867 active_frac=0.997 eff_rank=56.34 grad_norm=2.39 (18.3s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch= 17/25 train_acc=0.903 test_acc=0.881 active_frac=0.997 eff_rank=56.25 grad_norm=2.93 (18.0s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch= 18/25 train_acc=0.914 test_acc=0.892 active_frac=0.997 eff_rank=56.25 grad_norm=3.03 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch= 19/25 train_acc=0.923 test_acc=0.897 active_frac=0.997 eff_rank=56.30 grad_norm=2.82 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch= 20/25 train_acc=0.932 test_acc=0.904 active_frac=0.997 eff_rank=56.36 grad_norm=3 (18.2s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch= 21/25 train_acc=0.940 test_acc=0.910 active_frac=0.997 eff_rank=56.46 grad_norm=3.62 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch= 22/25 train_acc=0.947 test_acc=0.914 active_frac=0.997 eff_rank=56.41 grad_norm=3.38 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch= 23/25 train_acc=0.954 test_acc=0.918 active_frac=0.997 eff_rank=56.51 grad_norm=3.54 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=0 epoch= 24/25 train_acc=0.957 test_acc=0.918 active_frac=0.997 eff_rank=56.46 grad_norm=3.69 (18.2s)
[train-dyn] resnet18(silu)/cifar10 seed=0 done in 7.6 min
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch=  0/25 train_acc=0.359 test_acc=0.472 active_frac=0.992 eff_rank=47.17 grad_norm=1.34 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch=  1/25 train_acc=0.547 test_acc=0.578 active_frac=0.993 eff_rank=51.79 grad_norm=2.02 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch=  2/25 train_acc=0.651 test_acc=0.656 active_frac=0.994 eff_rank=54.12 grad_norm=1.7 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch=  3/25 train_acc=0.719 test_acc=0.729 active_frac=0.995 eff_rank=55.37 grad_norm=1.27 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch=  4/25 train_acc=0.762 test_acc=0.770 active_frac=0.996 eff_rank=55.86 grad_norm=1.3 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch=  5/25 train_acc=0.784 test_acc=0.759 active_frac=0.996 eff_rank=56.06 grad_norm=1.72 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch=  6/25 train_acc=0.799 test_acc=0.799 active_frac=0.997 eff_rank=56.13 grad_norm=1.63 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch=  7/25 train_acc=0.813 test_acc=0.798 active_frac=0.997 eff_rank=56.16 grad_norm=1.73 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch=  8/25 train_acc=0.823 test_acc=0.798 active_frac=0.997 eff_rank=56.22 grad_norm=1.77 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch=  9/25 train_acc=0.829 test_acc=0.835 active_frac=0.997 eff_rank=56.28 grad_norm=1.76 (18.1s)
[train-dyn] resnet18(silu)/cifar10 seed=1 epoch= 10/25 train_acc=0.841 test_acc=0.838 active_frac=0.997 eff_rank=56.48 grad_norm=2.21 (18.1s)
